판례일련번호,구분,문장번호,내용
346531,판례내용,1,수원고등법원
346531,판례내용,2,제 1 행정부
346531,판례내용,3,판결
346531,판례내용,4,사건 2022누15864 감봉처분취소
346531,판례내용,5,"원고, 항소인 A"
346531,판례내용,6,"피고, 피항소인"
346531,판례내용,7,경기도지사 소송대리인 변호사 김○
346531,판례내용,8,제1심판결 수원지방법원 2022.11.17.
346531,판례내용,9,선고 2021구합72575 판결
346531,판례내용,10,변론 종결 2023.10.20.
346531,판례내용,11,판결 선고 2023.11.24.
346531,판례내용,12,주문
346531,판례내용,13,1.원고의 항소를 기각한다.
346531,판례내용,14,2.항소비용은 원고가 부담한다.
346531,판례내용,15,청구취지 및 항소취지
346531,판례내용,16,제1심판결을 취소한다.피고가 2021.3.29.
346531,판례내용,17,원고에게 한 감봉 2월의 징계처분을 취소한다.
346531,판례내용,18,이유
346531,판례내용,19,"제1심판결의 이유는 타당하므로 행정소송법 제8조 제2항, 민사소송법 제420조 본문에 의하여 이 판결의 이유로 인용한다."
346531,판례내용,20,"원고는 이 법원에서도, 팀장에게 모욕적인 발언을 하거나 산학협력단의 관계자들에게 고압적인 태도를 보인 적이 없고, 배우자를 협박한 적도 없어서 1-1, 1-2, 2-1, 2-2 징계사유는 존재하지 않고, 징계사유로 된 행위들에 이른 경위, 그 내용 등에 비추어 이 사건 처분에는 비례원칙을 위반하여 재량권을 일탈·남용한 위법이 있다고 거듭 주장한다."
346531,판례내용,21,"그러나 팀장, 산학협력단 관계자들이 원고의 행위에 대하여 구체적이고 일관되게 진술하고 있어 그 진술의 신빙성이 높은 점, 이 사건 처분의 징계수위는 구 지방공무원 징계규칙 제2조 제1항 [별표 1]에 따른 징계기준 내에서 이루어진 점, 이 사건 처분의 징계사유로는 서로 관련 없는 둘 이상의 비위행위가 경합되므로, 구 지방공무원 징계규칙 제6조 제1항에 따라 책임이 중한 비위행위에 해당하는 징계보다 1단계 위의 징계의결을 할 수 있는 점 등 앞서 인용한 제1심판결 이유에서 적절히 판시하고 있는 여러 사정을 종합해 보면, 이 사건 처분의 징계사유가 존재한다고 보아야 하고, 이 사건 처분에 재량권을 일탈·남용한 위법이 있다고 볼 수 없다."
346531,판례내용,22,따라서 원고의 주장은 받아들이지 않는다.
346531,판례내용,23,"제1심판결은 정당하므로, 원고의 항소를 기각한다."
346531,판례내용,24,재판장 판사 노○
346531,판례내용,25,판사 박○
346531,판례내용,26,판사 정○
