판례일련번호,구분,문장번호,내용
338870,판례내용,1,서 울 행 정 법 원
338870,판례내용,2,판 결
338870,판례내용,3,사 건 2023구단56630 요양불승인처분취소
338870,판례내용,4,원 고 A 소송대리인 법무법인 마중 담당변호사 백○
338870,판례내용,5,피 고 근로복지공단
338870,판례내용,6,변 론 종 결 2024.6.5.
338870,판례내용,7,판 결 선 고 2024.6.19.
338870,판례내용,8,주 문
338870,판례내용,9,1.피고가 2022.12.21.
338870,판례내용,10,원고에게 한 요양불승인처분을 취소한다.
338870,판례내용,11,2.소송비용은 피고가 부담한다.
338870,판례내용,12,청 구 취 지
338870,판례내용,13,주문과 같다.
338870,판례내용,14,이 유
338870,판례내용,15,1.처분의 경위
338870,판례내용,16,"가.원고(B생)는 2011.1.3.부터 2022.8.18.까지 사이에 ㈜C 및 D, E, ㈜F, G, H에서 약 6년 3개월 동안 머시닝센터(MCT: Machining Center Tooling System, 이하 ‘MCT설비’라고 한다)가공업무를 담당한 근로자이다."
338870,판례내용,17,나.원고는 2022.8.18.
338870,판례내용,18,"‘I병원’에서 ‘추간판탈출증(경추 제4-5번, 6-7번)’(이하 ‘이 사건 상병’이라 한다)으로 진단받아 2022.9.15."
338870,판례내용,19,피고에게 요양급여신청을 하였다.
338870,판례내용,20,다.피고는 2022.12.21.
338870,판례내용,21,"‘원고의 업무수행 과정에서 일부 경추 부위의 부담 자세가 확인되나, 그 부담 정도가 경도 수준으로 높지 않은 것으로 판단되고, 의학 영상 확인 결과 급성소견 가능성을 배제할 수 없다."
338870,판례내용,22,이 사건 상병의 유발에 있어서 업무관련성은 높지 않다고 평가되어 업무와 이 사건 상병 사이의 상당인과관계가 인정되지 않는다.’라는 이유로 원고에게 요양불승인결정(이하 ‘이 사건 처분’이라 한다)을 하였다.
338870,판례내용,23,"【인정근거】다툼 없는 사실, 갑 제1호증의 1, 갑 제3호증의 1, 2, 갑 제4호증의 1의 각 기재, 변론 전체의 취지"
338870,판례내용,24,2.이 사건 처분의 적법 여부
338870,판례내용,25,가.원고 주장의 요지
338870,판례내용,26,"원고가 수행한 MCT설비 가공업무는 목과 어깨에 상당한 부담을 주는 작업이고, 그 부담이 누적되어 2020.9.1.경부터 이 사건 상병으로 진료를 받다가, 2022.8.13.경 업무를 수행하던 중 경추 부위 통증이 심해져 ‘인공추간판치환술’을 받아야 할 정도로 그 상태가 상당히 악화되었다."
338870,판례내용,27,"이 사건 상병은 원고의 업무와 상당인과관계가 있으므로 업무상 재해에 해당함에도, 이와 다른 전제에서 이루어진 이 사건 처분은 위법하여 취소되어야 한다."
338870,판례내용,28,나.인정 사실
