판례일련번호,구분,문장번호,내용
64845,판시사항,1,[1]
64845,판시사항,2,구 지방교육자치에 관한 법률 제60조 제3항 제1호에 정한 ‘교육경력’의 인정 요건
64845,판시사항,3,[2] 교육위원 후보자의 ‘노조전임 휴직기간’이
64845,판시사항,4,구 지방교육자치에 관한 법률 제60조 제3항 제1호의 ‘교육경력’에 포함되는지 여부(소극)
64845,판결요지,5,[1]
64845,판결요지,6,구 지방교육자치에 관한 법률(2006.12.20.
64845,판결요지,7,"법률 제8069호로 전문 개정되기 전의 것)제60조 제3항 제1호의 해석상 교육위원 후보자의 자격과 관련된 ‘교육경력’은 다음의 두 가지 요건을 모두 갖출 경우에 인정된다.첫째,"
64845,판결요지,8,"유아교육법 제2조 제2호의 규정에 의한 유치원,"
64845,판결요지,9,초·중등교육법 제2조 및
64845,판결요지,10,"고등교육법 제2조에 규정된 교육기관의 교원이어야 한다.즉, 위 각 법률이 규정하고 있는 교육기관 이외의 교육기관의 교원으로 근무한 경력은 위 ‘교육경력’에 산입되지 않는다.둘째, 교원의 신분으로 그 직무에 종사하여야 한다.따라서 교원이 교원으로서의 직무가 아닌 다른 직무에 종사하는 경우에는 ‘교육경력’이 인정되지 않는다.다만, 교원의 직무는 반드시 학교에서 학생들을 가르치는 것에 제한되는 것이 아니므로, 교원이 교원대나 청소년수련원 등 학교 이외의 장소에 파견되어 교육과 관련된 직무를 행하는 경우에도 교원의 직무에 종사한 것으로 보아야 한다."
64845,판결요지,11,[2]
64845,판결요지,12,"국가공무원법 제73조 제1항이 “휴직중인 공무원은 신분은 보유하나 직무에 종사하지 못한다”고 명백하게 규정하고 있는 점, 교원노동조합의 설립은 교원의 근로조건의 유지·개선 및 교사의 경제적·사회적 지위향상을 도모하는 데 그 목적이 있으므로 교원노동조합의 활동을 교원 본래의 직무라고 할 수 없는 점 등을 종합하여 보면, 교원이 휴직을 한 후 노조사무실에서 노조전임자로서 근무한 것을 교원의 직무에 종사한 것으로 보기 어렵다."
64845,참조조문,13,[1]
64845,참조조문,14,구 지방교육자치에 관한 법률(2006.12.20.
64845,참조조문,15,법률 제8069호로 전문 개정되기 전의 것)제60조 제3항 제1호(현행
64845,참조조문,16,제10조 제2항 제2호 참조)/ [2]
64845,참조조문,17,구 지방교육자치에 관한 법률(2006.12.20.
64845,참조조문,18,법률 제8069호로 전문 개정되기 전의 것)제60조 제3항 제1호(
64845,참조조문,19,현행 제10조 제2항 제2호 참조)
64845,판례내용,20,【원    고】
64845,판례내용,21,【피    고】 익산시선거관리위원회 위원장 (소송대리인 변호사 국○)
64845,판례내용,22,【참 가 인】
64845,판례내용,23,【변론종결】2008.7.25.
64845,판례내용,24,【주    문】
64845,판례내용,25,1.원고의 청구를 기각한다.
64845,판례내용,26,2.소송비용은 참가인의 참가로 인한 부분을 포함하여 원고가 부담한다.
64845,판례내용,27,【청구취지】익산시선거관리위원회가 2008.3.13.
64845,판례내용,28,"원고를 제5대 전라북도 교육위원 선거(제3선거구)의 교육위원 승계자로 정한 결정에 관하여, 전라북도선거관리위원회가 2008.5.7."
64845,판례내용,29,위 결정을 무효로 한 결정을 취소한다.
64845,판례내용,30,【이    유】  1.처분의 경위
64845,판례내용,31,가.2006.7.31.
64845,판례내용,32,실시한 제5대 전라북도 교육위원 선거(제3선거구)에서 익산시 선거관리위원회는
64845,판례내용,33,구 지방자치에 관한 법률(2006.12.20.
64845,판례내용,34,법률 제8069호로 전문 개정되기 전의 것.이하 ‘구 지방교육자치법’이라고 한다)제115조 제1항의 규정에 의하여 유효투표의 다수를 얻은 자 순으로
64845,판례내용,35,"소외 1,"
64845,판례내용,36,"소외 2,"
64845,판례내용,37,"소외 3 등 3인을 당선인으로 결정하였는데, 위 당선인 3인은"
64845,판례내용,38,같은 법 제60조 제2항에 의한 ‘경력자’로 당선된 사람들이다.
64845,판례내용,39,나.익산시선거관리위원회는
64845,판례내용,40,"같은 법 제115조 제6항에 따라 교육위원으로 선출되지 아니한 후보자를 ‘경력자’와 ‘비경력자’로 구분하여 ‘경력자’로 원고, 참가인,"
64845,판례내용,41,"소외 4,"
64845,판례내용,42,"소외 5 등 4인을, ‘비경력자’로"
64845,판례내용,43,"소외 6 1인을 교육위원 예정자로 정하였다.이에 따라 경력자 중 원고가 교육위원 승계 예정순위 1순위가 되었고, 참가인이 2순위가 되었다."
64845,판례내용,44,다.교육위원으로 당선된
64845,판례내용,45,소외 1이 구 지방교육자치법 위반으로 당선무효에 해당하는 형의 선고를 받자 익산시선거관리위원회는 2008.2.25.
64845,판례내용,46,"소외 1에 대하여 당선무효를 결정하였고, 이에 따라"
64845,판례내용,47,같은 법 제7조 제3항에 의한 교육위원 승계사유가 발생하자 2008.3.13.
64845,판례내용,48,원고를 교육위원 승계자로 결정하였다.
64845,판례내용,49,"라.한편, 원고는 교사로서의 총경력이 10년 1월 21일인데, 그 중에는"
64845,판례내용,50,"교육공무원법 제44조 제1항 제11호의 규정에 의한 ‘노조전임 휴직기간’ 1년이 포함되어 있었고, 원고는 ‘노조전임 휴직기간’인 2001.3.1.부터 2002.2.28.까지 노조전임자로서 휴직을 한 상태에서 전교조 전북지부 수석부지부장으로서 휴직 당시 소속 학교가 아닌 전교조 전북지부 사무소에서 근무하였다."
64845,판례내용,51,마.참가인은 ‘노조전임 휴직기간’은 교육경력에 산입되어서는 아니되므로 원고가
64845,판례내용,52,구 지방교육자치법 제60조 제2항이 요구하는 ‘교육경력 10년 이상’의 요건을 충족하지 못하였다고 주장하면서 2008.3.17.
64845,판례내용,53,전라북도선거관리위원회에 2008나전북교선나 1호로 전라북도 교육위원 선거(제3선거구) 당선무효 소청을 제기하였다.
64845,판례내용,54,바.전라북도선거관리위원회는 참가인의 소청을 받아들여 2008.5.7.
64845,판례내용,55,원고를 교육위원 승계자로 한 익산시선거관리위원회의 결정을 무효로 하는 결정을 하였다.
64845,판례내용,56,"[인정 근거] 다툼 없는 사실, 갑 제1 내지 5호증(각 가지번호 포함)의 각 기재, 변론 전체의 취지"
64845,판례내용,57,2.원고의 주장 및 이 사건의 쟁점
64845,판례내용,58,가.원고의 주장
64845,판례내용,59,구 지방교육자치법 제60조 제3항 제1호는 ‘교육경력’의 의미에 대하여 “
64845,판례내용,60,"유아교육법 제2조 제2호의 규정에 의한 유치원,"
64845,판례내용,61,초·중등교육법 제2조 및
64845,판례내용,62,"고등교육법 제2조에 규정된 학교에서 교원으로 근무한 경력”이라고 규정하고 있다.그런데 위 규정은 교원이 위 각 법률에서 인정한 교육기관에서 근무해야 교육경력으로 인정한다는 일반적인 정의를 규정한 것일 뿐 반드시 학교에서 근무해야 교육경력으로 인정한다는 것이 아니고, 노조전임자로서의 교원을 일반 교원과 다르게 취급해야 하는 입법상의 목적이나 필요성도 없으므로 교원이 노조전임자로서 근무한 기간도 교육경력에 포함되어야 한다.따라서 원고의 교육위원 후보자 자격이 인정되어야 하므로 원고가"
