판례일련번호,구분,문장번호,내용
339234,판례내용,1,인천지방법원
339234,판례내용,2,제1-3행정부
339234,판례내용,3,판결
339234,판례내용,4,사건 2023구합52004 손실보상금증액청구의 소
339234,판례내용,5,원고 A 주식회사
339234,판례내용,6,소송대리인 법무법인(유한)화우
339234,판례내용,7,"담당변호사 안○, 백○"
339234,판례내용,8,피고 주식회사 B
339234,판례내용,9,소송대리인 법무법인(유한)세종
339234,판례내용,10,"담당변호사 김○, 허○"
339234,판례내용,11,변론 종결 2024.6.13.
339234,판례내용,12,판결 선고 2024.8.22.
339234,판례내용,13,주문
339234,판례내용,14,"1.피고는 원고에게 1,642,708,350원 및 이에 대하여 2022.8.19.부터 2024.8.22.까지 연 5%, 다음날부터 다 갚는 날까지 연 12%의 각 비율로 계산한 돈을 지급하라."
339234,판례내용,15,2.원고의 나머지 청구를 기각한다.
339234,판례내용,16,"3.소송비용 중 감정비용은 피고가 부담하고, 나머지 소송비용 중 4/5는 원고가, 나머지는 피고가 각 부담한다."
339234,판례내용,17,4.제1항은 가집행할 수 있다.
339234,판례내용,18,청구 취지
339234,판례내용,19,"피고는 원고에게 8,652,712,106원 및 이에 대하여 2022.8.19.부터 이 사건 청구취지 및 청구원인 변경신청서 부본 송달일까지는 연 5%의, 그 다음날부터 다 갚는 날까지는 연 12%의 각 비율로 계산한 돈을 지급하라."
339234,판례내용,20,이유
339234,판례내용,21,1.기초사실
339234,판례내용,22,가.도시개발구역 지정 및 고시
339234,판례내용,23,- 사업명: C 도시개발사업
339234,판례내용,24,- 사업시행자: 피고
339234,판례내용,25,- 도시개발계획 수립(변경)고시: 2009.6.15.
339234,판례내용,26,"인천광역시 고시 D, 2012.8.13."
339234,판례내용,27,인천광역시 고시 E 등(도시개발법 제22조에 따라 사업인정고시가 있었던 것으로 의제)
339234,판례내용,28,나.인천광역시 지방토지수용위원회의 2022.6.24.자 수용재결
339234,판례내용,29,- 수용목적물 및 손실보상금
339234,판례내용,30,"• 별지 목록 제1항 수용대상토지 6필지: 합계 52,293,087,500원"
339234,판례내용,31,"• 별지 목록 제2항 잔여지 토지 2필지: 합계 742,653,500원"
339234,판례내용,32,"• 지장물 50건: 합계 2,555,941,800원"
339234,판례내용,33,"• 영업손실: 3,752,101,000원(휴업기간 4개월, 일괄하여)"
339234,판례내용,34,"• 손실보상금 합계: 59,343,783,800원"
339234,판례내용,35,- 수용개시일: 2022.8.18.
339234,판례내용,36,다.중앙토지수용위원회의 2023.1.19.자 이○
339234,판례내용,37,- 수용 목적물의 손실보상금을 아래와 같이 변경
339234,판례내용,38,"• 별지 목록 제1항 수용대상토지 6필지: 합계 53,470,072,000원"
339234,판례내용,39,"• 별지 목록 제2항 잔여지 토지 2필지: 합계 744,129,500원"
339234,판례내용,40,"• 지장물 50건: 합계 2,595,613,450원"
339234,판례내용,41,"• 영업손실: 4,072,800,000원(휴업기간 4개월, 일괄하여)"
339234,판례내용,42,"• 손실보상금 합계: 60,882,614,950원"
339234,판례내용,43,라.법원감정결과
339234,판례내용,44,"• 별지 목록 제1항 수용대상토지 6필지: 합계 54,944,989,000원"
339234,판례내용,45,"• 별지 목록 제2항 잔여지 토지 2필지: 합계 770,811,000원"
339234,판례내용,46,• 지장물
339234,판례내용,47,"․ 사업인정고시일 이후 설치된 지장물을 제외할 경우1): 합계 2,662,323,300원"
339234,판례내용,48,"․ 사업인정고시일 이후 설치된 지장물을 포함할 경우2): 합계 2,952,189,800원"
339234,판례내용,49,"[감정의 목적이 된 지장물 중 법원 감정평가서의 ‘물건 감정평가조서’ 기호 28(차량소독시설), 29(출입자소독실), 775(벌크사료저장탱크 증축부분), 776(부원료 사일로 증축부분), 777(사내도로 일부 및 주차장 바닥)은 사업인정고시(의제)일 이후 설치된 것으로 수용재결 및 이의재결단계에서는 손실보상 대상에서 제외되었으나 법원감정절차에서는 원고 의견에 따라 감정평가가 이루어졌다.법원감정 결과 기호 28, 29의 감정평가액은 일괄하여 30,000,000원, 기호 775의 감정평가액은 53,586,000원, 기호 776의 감정평가액은 122,508,000원, 기호 777의 감정평가액은 83,772,500원이다."
339234,판례내용,50,이하 재결단계에서 누락된 위 지장물들을 ‘이 사건 누락지장물’이라 한다].
339234,판례내용,51,• 영업손실
339234,판례내용,52,"․ 휴업기간 4개월일 경우: 4,147,200,000원"
339234,판례내용,53,"․ 휴업기간 6개월일 경우: 4,612,600,000원"
339234,판례내용,54,"․ 휴업기간 18개월일 경우: 7,405,000,000원"
339234,판례내용,55,"․ 휴업기간 24개월일 경우: 8,801,300,000원"
339234,판례내용,56,"[인정근거] 다툼 없는 사실, 갑 제4 내지 7호증, 을 제1, 2, 4호증의 각 기재(가지번호 포함), 이 법원의 감정인 F에 대한 감정촉탁결과, 이 법원의 주식회사 감정 평가법인 G 경인지사장에 대한 사실조회 결과, 변론 전체의 취지"
339234,판례내용,57,2.원고의 주장
339234,판례내용,58,"가.수용 및 이의재결단계에서 이루어진 토지에 대한 감정평가는 비교표준지 선정, 개별요인 보정, 거래사례 고려 등의 과정에 오류가 있어 감정가가 현저히 저평가된 잘못이 있다."
339234,판례내용,59,"나.수용 및 재결단계에서 원고 소유의 일부 지장물에 대한 손실보상이 누락되었는데, 이 사건 누락지장물의 경우 사업인정고시(의제)이후 설치되기는 하였으나 그 물건들은 사업에 필수적으로 필요한 시설이거나 환경규제 강화에 따른 행정청의 요청에 따라 설치한 것이므로 보상 대상에 포함되어야 한다."
339234,판례내용,60,따라서 이 사건 누락지장물에 대해서도 손실보상이 이루어져야 한다.
339234,판례내용,61,"다.영업손실과 관련하여, 수용 및 재결단계에서는 휴업기간을 4개월로 보고 손실보상금을 산정하였다."
339234,판례내용,62,"그러나 원고가 운영하고 있는 공장의 규모, 설비의 형태, 사료회사의 특성상 각종 인․허가 및 인증절차를 진행할 필요가 있는 점 등을 고려하면 휴업기간은 공장 이전에 소요될 것으로 예상되는 24개월로 보아야 한다."
339234,판례내용,63,라.피고는 2009년 6월경부터 원고에게 지속적으로 공장을 이전할 것을 요구․독촉하였다.
339234,판례내용,64,원고는 피고의 지속적인 공장 이전 요구로 인하여 공장 건물을 타인에게 제대로 임대하지 못하였고 이로 인하여 공실이 발생하였다.
339234,판례내용,65,이는 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률(이하 ‘토지보상법’이라 한다)시행규칙 제47조 제2항 제1호에서 규정하고 있는 ‘당해 공익사업을 위한 영업의 금지 또는 제한으로 인하여 4개월 이상의 기간 동안 영업을 할 수 없는 경우’에 해당하므로 피고는 임대료 상당액에 대한 손실을 보상해야 한다.
339234,판례내용,66,마.이 사건 사업의 실시계획인가 이후인 2013.5.13.
339234,판례내용,67,"원고 공장부지의 용도지역이 일반 공업지역에서 3종 일반 주거지역으로 변경됨에 따라 분리과세 비중이 감소하고, 별도합산과세 대상이 증가하였다."
339234,판례내용,68,"이로 인하여 원고가 납부해야 할 재산세가 급격히 증가하였고, 공장부지 중 별도합산과세대상에 해당하는 부분에 대해서 종합부동산세가 부과되었다."
339234,판례내용,69,"따라서 원고가 2013년부터 2022년까지 실제 납부한 재산세 금액에서 종전 비율에 따라 계산한 재산세 금액을 제외한 차액 합계 396,099,046원과 2013년부터 2022년까지의 종합부동산세 합계 382,265,710원을 보상해야 한다."
339234,판례내용,70,"바.따라서 피고는 원고에게 아래 표 기재와 같은 보상금 합계 69,535,327,056원에서 피고가 기 지급한 60,882,614,950원을 뺀 차액인 8,652,712,106원을 지급해야 한다."
339234,판례내용,71,3.판단
339234,판례내용,72,가.수용대상 토지 및 잔여지에 대한 손실보상
