해석례일련번호,구분,문장번호,내용
338175,질의요지,1,"「건설산업기본법」 제9조제1항 본문에 따르면, 건설업을 하려는 자는 같은 법 시행령 별표 1에 따른 업종별로 국토교통부장관에게 등록을 해야 하는데, 같은 법 제10조에서는 같은 법 제9조제1항에 따른 건설업의 등록기준이 되는 기술능력, 자본금, 시설 및 장비 등에 관한 사항은 대통령령으로 정한다고 규정하고 있고, 그 위임에 따라 건설업의 등록기준을 정한 같은 법 시행령 제13조제1항제1호 및 별표 2에서는 건설업의 ‘기술능력’에 관한 등록기준으로 건설업종별로 ‘일정한 자격을 갖춘 기술인력의 수’를 정하고 있는바,"
338175,질의요지,2,"「건설산업기본법」 제9조에 따라 건설업 중 같은 법 시행령 별표 1 제1호마목에 따른 조경공사업(이하 “조경공사업”이라 함)의 등록을 하려는 경우, 「산림자원의 조성 및 관리에 관한 법률」(이하 “산림자원법”이라 함)제24조제1항, 같은 법 시행령 제25조 및 별표 2에 따라 산림사업 중 숲길 조성·관리 사업(이하 “숲길 조성·관리사업”이라 함)을 시행하는 법인의 인력으로 등록된 사람을 「건설산업기본법 시행령」 별표 2 제1호마목의 기술능력을 충족하기 위하여 요구되는 조경공사업의 기술인력으로 인정할 수 있는지?"
338175,회답,3,"이 사안의 경우, 숲길 조성·관리사업을 시행하는 법인의 인력으로 등록된 사람을 「건설산업기본법 시행령」 별표 2 제1호마목의 기술능력을 충족하기 위하여 요구되는 조경공사업의 기술인력으로 인정할 수 없습니다."
338175,이유,4,"「건설산업기본법」 제9조제1항 본문에서는 건설업을 하려는 자는 업종별로 국토교통부장관에게 등록을 해야 한다고 규정하고 있고, 같은 법 제10조에서는 같은 법 제9조제1항에 따른 건설업의 등록기준이 되는 기술능력, 자본금, 시설 및 장비 등에 관한 사항은 대통령령으로 정한다고 규정하고 있으며, 그 위임에 따라 건설업의 등록기준을 정한 같은 법 시행령 제13조제1항제1호 및 별표 2에서는 건설업의 ‘기술능력’에 관한 등록기준으로 건설업종별로 일정한 자격을 갖춘 기술인력의 수를 정하고 있는 한편, 산림자원법 제24조제1항에서는 산림사업을 하려는 자는 기술수준과 자본금 등 대통령령으로 정하는 요건(제2호) 등을 갖추어 산림사업의 종류별로 시·도지사에게 등록을 신청해야 한다고 규정하고 있고, 그 위임에 따라 산림사업을 할 수 있는 법인의 등록기준을 정하고 있는 같은 법 시행령 제25조 및 별표 2에서는 ‘기술수준’에 관한 자격요건으로 산림사업의 종류별로 일정한 자격을 갖춘 인력의 수를 정하고 있는바, 이 사안에서는 산림자원법령에 따라 숲길 조성·관리사업을 시행하는 법인의 인력으로 등록된 사람을 건설산업기본법령에 따른 건설업 중 조경공사업의 기술인력으로 중복하여 등록할 수 있는지 여부가 문제됩니다."
338175,이유,5,"먼저 「건설산업기본법 시행령」 제16조제1항에서는 건설사업자1)1)「건설산업기본법」 또는 다른 법률에 따라 등록 등을 하고 건설업을 하는 자를 말함(「건설산업기본법」 제2조제7호 참조)가 다른 업종의 건설업 등록을 추가로 신청하는 경우에는 같은 항 각 호의 구분에 따라 같은 영 별표 2에 따른 등록기준을 이미 갖춘 것으로 본다고 규정하면서, 기술능력의 경우 추가로 등록하려는 업종의 기술능력이 같은 종류·등급으로서 공동으로 활용할 수 있는 경우에는 1개 업종에 한정하여 1명(일정한 경우에는 2명)의 기술능력을 이미 갖춘 것으로 인정(제2호)하도록 하는 특례를 두고 있고, 같은 표 비고 제1호마목에서도 토목공사업 또는 토목건축공사업을 등록한 사람이 「물의 재이용 촉진 및 지원에 관한 법률」 제2조제7호에 따른 하·폐수처리수 재이용시설을 시공하려는 경우에는 공동으로 활용할 수 있는 토목기사 1명은 이미 갖춘 것으로 본다고 규정하여, 건설업 내의 세부 업종간은 물론 건설업 외의 다른 업종과 중복되는 기술인력을 인정하려는 경우에는 그 인정 여부 및 기준을 명시하여 규정하고 있는데, 이 사안의 조경공사업과 같이 「건설산업기본법 시행령」에서 산림자원법령에 따른 등록 법인의 인력과의 중복 인정 여부에 대하여 명시적인 규정을 두고 있지 않은 경우에는 원칙적으로 양 법령에 따른 업종간 기술인력의 중복은 허용되지 않는다고 보아야 할 것입니다2)2)법제처 2022.10.28."
338175,이유,6,회신 22-0258 해석례 참조
338175,이유,7,.
338175,이유,8,"그리고 건설업의 등록기준을 정하고 있는 「건설산업기본법 시행령」 별표 2 비고 제1호가목에서는 등록기준 중 기술능력과 관련하여 “기술인력”에 해당하는 사람은 ‘상시 근무3)3)「건설산업기본법 시행령」 제13조제1항제1호 및 별표 2 비고 제1호가목에 따라 다른 사업을 영위하는 경우에는 상시 근무에 지장이 없는 경우로 한정하며, 이하 동일"
338175,이유,9,"하는 사람’이어야 한다고 규정하고 있고, 산림사업을 시행하는 법인의 등록기준을 정하고 있는 산림자원법 시행령 별표 2 비고 제3호에서는 같은 표에서 “인력”이란 ‘상시 근무하는 사람’을 말한다고 규정하여, 각각의 근거법령에서 그 등록기준 중 인력요건에 대해서는 해당 인력이 상시 근무하는 사람일 것을 요구하고 있는데, ‘상시 근무하는 사람’이란 ‘통상적으로 정해진 근무시간’ 중에는 계속 근무하는 사람4)4)법제처 2022.10.28."
338175,이유,10,회신 22-0258 해석례 참조
338175,이유,11,"을 의미한다고 할 것이고, 통상 근로자는 1일 8시간 근무하는 점5)5)서울고등법원 2021.12.24."
338175,이유,12,"선고 2021누48764 판결례 참조(상고가 있었으나 대법원이 심리불속행 기각 판결을 선고하여 해당 판결이 그대로 확정되었음)에 비추어 볼 때, 산림자원법령에 따라 숲길 조성·관리사업을 시행하는 법인의 인력으로 이미 등록되어 통상적으로 정해진 근무시간 동안 숲길 조성·관리 업무를 수행하는 사람은 통상적으로 정해진 근무시간 동안 조경공사업무를 동시에 수행할 수 없으므로, 숲길 조성·관리사업을 시행하는 법인의 인력으로 이미 등록된 사람은 조경공사업의 기술인력으로서의 상시 근무 요건을 충족할 수 없다고 할 것인바, 해당 인력을 조경공사업의 기술인력으로 중복하여 등록할 수는 없다고 할 것입니다."
338175,이유,13,"또한 건설산업기본법령에서 건설업의 등록기준으로 일정한 기술능력·자본금·시설 및 장비 등을 규정하고 있는 취지는 이러한 자격 요건을 갖추지 못한 자에게는 건설공사와 관련된 영업을 하지 못하도록 하여 건설공사의 적정한 시공을 담보함으로써 부실공사를 방지하고 국민의 건강과 생명, 재산을 보호하려는 것으로서6)6)대법원 2015.4.23."
338175,이유,14,선고 2013두12386 판결례 참조
