해석례일련번호,구분,문장번호,내용
313265,질의요지,1,"가.「건강가정기본법 시행규칙」 제6조제1호에 따르면, 건강가정사업을 수행하기 위하여 설립된 사회복지법인 등 「민법」 제32조에 따른 비영리법인에게 건강가정지원센터의 운영을 위탁할 수 있는바, “건강가정사업을 수행하기 위하여 설립된”이란 설립목적상의 제한이 사회복지법인에만 해당되는지, 아니면     「민법」 제32조에 따른 비영리법인에도 해당되는지?"
313265,질의요지,2,나.“건강가정사업을 수행하기 위하여 설립된”이란 비영리법인의 설립목적이 설립등기 또는 법인정관에 명시되어야 위탁운영이 가능한지?
313265,회답,3,가.질의 가에 대하여
313265,회답,4,「건강가정기본법 시행규칙」 제6조제1호의 “건강가정사업을 수행하기 위하여 설립된”이란 설립목적상의 제한은 사회복지법인 뿐만 아니라 「민법」 제32조에 따른 비영리법인에도 해당됩니다.
313265,회답,5,나.질의 나에 대하여
313265,회답,6,"「건강가정기본법 시행규칙」 제6조제1호의 “건강가정사업을 수행하기 위하여 설립된”이란 설립목적이 설립등기나 법인정관에 반드시 명시되어야 하는 것은 아니고, 법인정관의 목적 및 사업조항, 그 동안의 활동내역 등을 전체적으로 고려하여 법인의 운영사업이 건강가정사업을 수행하는 것으로 볼 수 있는 경우에는 건강가정지원센터의 위탁운영이 가능하다고 할 것입니다."
313265,이유,7,가.질의 가 및 질의 나의 공통사항(관련법령 등)
313265,이유,8,"○ 「건강가정기본법」 제35조제1항에 따르면, 국가 및 지방자치단체는 가정문제의 예방·상담 및 치료, 건강가정의 유지를 위한 프로그램의 개발, 가족문화운동의 전개, 가정관련 정보 및 자료제공 등을 위하여 중앙, 시·도 및 시·군·구에 건강가정지원센터를 둔다고 규정하고 있고, 같은 조 제5항에 따르면, 센터의 운영은 여성가족부령이 정하는 바에 의하여 민간에 위탁할 수 있다고 규정하고 있으며, 같은 법 시행규칙 제6조제1호에 따르면, 국가 및 지방자치단체는 건강가정사업을 수행하기 위하여 설립된 사회복지법인 등 「민법」 제32조에 따른 비영리법인에 건강가정지원센터의 운영을 위탁할 수 있다고 규정하고 있습니다."
313265,이유,9,"○ 건강가정사업은 건강가정을 저해하는 문제의 발생을 예방하고 해결하기 위한 여러가지 조치와 가족의 부양·양육·보호·교육 등의 가정기능을 강화하기 위한 사업을 말하고(「건강가정기본법」 제3조제4호), 이 사업을 원활히 수행하기 위하여 학식과 경험을 가진 전문가를 둔 건강가족지원센터를 중앙, 시·도 및 시·군·구에 설치하고 있습니다."
313265,이유,10,나.질의 가에 대하여
313265,이유,11,「건강가정기본법 시행규칙」 제6조제1호에서 사회복지법인은 “건강가정사업을 수행하기 위하여 설립된”이라
313265,이유,12,"는 설립목적상의 제한을 받는 하나의 예로 규정한 것이고, 그러한 제한이 사회복지법인에만 한정된다는 것은 아니라고 할 것이며, 건강가정지원센터의 적절한 운영을 위하여는 「민법」 제32조에 따른 비영리법인의 경우에도 “건강가정사업을 수행하기 위하여 설립된”이라는 설립목적상의 제한을 받게 하는 것이 바람직하고, 사회복지법인과 달리 볼 합리적인 이유도 없으므로, “건강가정사업을 수행하기 위하여 설립된”이란 설립목적 상의 제한은 사회복지법인 뿐만 아니라 「민법」 제32조의 규정에 의한 비영리법인에도 모두 적용된다고 할 것입니다."
313265,이유,13,다.질의 나에 대하여
313265,이유,14,○ 건강가정지원센터의 운영을 위탁받을 수 있는 사회복지법인 등 비영리법인에 “건강가정사업을 수행하기 위하여 설립된”이라는 설립목적상의 제한을 두고 있는 이유는 건강가정지원센터가 건강가정을 저해하는 문제의 발생을 예방·해결하고 가족의 부양·양육·보호·교육 등의 가정기능을 강화하기 위한 사업인 건강가정사업을 효율적으로 수행하기 위하여 설치되었으므로 건강가정사업과 무관한 비영리법인을 건강가정지원센터의 운영을 위탁 받을 수 있는 비영리법인의 범위에서 제외하여 건강가정사업을 입법목적에 맞게 효과적으로 수행하려는 취지입니다.
313265,이유,15,○ 비록 정관의 목적 또는 사업관련 조항에 비영리법인의 목적사업으로
313265,이유,16,"건강가정사업을 명시적으로 규정하고 있지 않더라도 법인의 목적 및 사업조항, 그 동안의 활동내역 등을 전체적으로 고려하여 법인의 운영사업이 건강가정사업을 수행하는 것으로 볼 수 있는 경우에는 건강가정지원센터의 운영을 위탁받을 수 있는 사회복지법인 등 비영리법인에 포함시켜도 건강가정사업을 입법목적에 맞게 효과적으로 수행하기 위하여 설립목적상의 제한을 둔 취지에 반하는 것은 아니라고 할 것입니다."
313265,이유,17,"○ 따라서, 「건강가정기본법 시행규칙」 제6조제1호의 “건강가정사업을 수행하기 위하여 설립된”이란 설립목적이 설립등기나 법인정관에 반드시 명시되어야 하는 것은 아니고, 법인정관의 목적 및 사업조항, 그동안의 활동내역 등을 전체적으로 고려하여 법인의 운영사업이 건강가정사업을 수행하는 것으로 볼 수 있는 경우에는 건강가정지원센터의 위탁운영이 가능하다고 할 것입니다."
