해석례일련번호,구분,문장번호,내용
315168,질의요지,1,"「부가가치세법」 제27조제3호, 같은 법 시행령 제51조제1호 및 같은 법 시행규칙 제39조제1항제1호에서는 「정부조직법」 제4조에 따라 설치된 기관이 운영하는 시험소, 연구소 등에서 참고용ㆍ교육용으로 사용되는 물품을 수입하는 경우에는 부가가치세를 면제한다고 규정하고 있는바,"
315168,질의요지,2,"지방식품의약품안전청의 유해물질분석과, 시험분석센터, 수입식품검사소에서 검사ㆍ연구를 위하여 사용하는 물품을 수입하는 경우에도 부가가치세가 면제되는지?"
315168,질의요지,3,< 질의 배경 >
315168,질의요지,4,"○ 식품의약품안전처에서는 지방식품의약품안전청의 분장업무를 수행하기 위하여 검사ㆍ연구 업무를 하는 경우 이를 위하여 수입하는 물품에 대해서 부가가치세가 면제되는지에 대하여 기획재정부에 질의하였고, 기획재정부에서는 업무를 수행하기 위하여 사용하는 물품은 면제 대상이 아니라고 회신한바, 이에 이의가 있어 직접 법제처에 법령해석을 요청함."
315168,회답,5,"지방식품의약품안전청의 유해물질분석과, 시험분석센터, 수입식품검사소에서 검사ㆍ연구를 위하여 사용하는 물품을 수입하는 경우에는 부가가치세가 면제되지 않습니다."
315168,이유,6,"「부가가치세법」 제27조제3호에서는 학술연구단체, 교육기관, 「한국교육방송공사법」에 따른 한국교육방송공사 또는 문화단체가 과학용ㆍ교육용ㆍ문화용으로 수입하는 재화로서 대통령령으로 정하는 재화를 수입하는 경우에는 부가가치세를 면제한다고 규정하고 있고, 같은 법 시행령 제51조제1호에서는 법 제27조제3호에 따른 “과학용ㆍ교육용ㆍ문화용으로 수입하는 재화”의 하나로 학교, 박물관 또는 그 밖에 기획재정부령으로 정하는 시설에서 진열하는 표본 및 참고품ㆍ교육용의 촬영된 필름, 슬라이드, 레코드, 테이프 또는 그 밖에 이와 유사한 매개체와 이러한 시설에서 사용되는 물품을 규정하고 있으며, 같은 법 시행규칙 제39조제1항제1호에서는 영 제51조제1호에서 “기획재정부령으로 정하는 시설”이란 「정부조직법」 제4조 또는 지방자치단체의 조례에 따라 설치된 기관이 운영하는 시험소, 연구소, 공공직업훈련원, 공공도서관, 동물원, 식물원 및 전시관을 말한다고 규정하고 있습니다."
315168,이유,7,"그리고, 「식품의약품안전처와 그 소속기관 직제」 제2조제2항에서는 식품의약품안전처장의 소관사무를 분장하기 위하여 식품의약품안전처장 소속 하에 지방식품의약품안전청을 둔다고 규정하고 있고, 같은 직제 제32조에서는 지방식품의약품안전청장의 소관사무를 분장하기 위하여 지방식품의약품안전청장 소속 하에 수입식품검사소를 둔다고 규정하고 있으며, 같은 직제 시행규칙 제25조제2항에서는 지방식품의약품안전청에 보조기관으로 유해물질분석과와 시험분석센터를 둔다고 규정하고 있는바,"
315168,이유,8,"이 사안은 지방식품의약품안전청의 직무를 분장하는 유해물질분석과, 시험분석센터, 수입식품검사소에서 검사ㆍ연구를 위하여 사용하는 물품을 수입하는 경우에 부가가치세가 면제되는지에 관한 것이라 하겠습니다."
315168,이유,9,"먼저, 조세법률주의 원칙상 과세요건이나 비과세요건 또는 조세감면 요건의 해석은 특별한 사정이 없는 한 법문대로 해석할 것이고, 합리적 이유 없이 확장해석하거나 유추해석하는 것은 허용되지 않습니다(대법원 2009.8.20."
315168,이유,10,선고 2008두11372 판결례 참조).
315168,이유,11,"그리고, 「부가가치세법 시행규칙」 제39조제1항제1호에서는 「정부조직법」 제4조에 따라 설치된 부속기관이 운영하는 시험소, 연구소에서 사용하는 물품을 수입하는 경우에 한정하여 부가가치세를 면제하도록 하고 있는바, 「정부조직법」 제4조에 따라 설치된 “부속기관”이란 행정권의 직접적인 행사 기관에 부속하여 그 기관을 지원하는 시험연구기관, 교육훈련기관 등을 말합니다(「정부조직법」 제4조 및 「행정기관의 조직과 정원에 관한 통칙」 제2조제3호 참조)"
315168,이유,12,"그런데, 지방식품의약품안전청은 식품의약품안전처의 소관사무를 분장하기 위하여 설치된 지방행정기관으로서 「정부조직법」 제3조에 따른 특별지방행정기관에 해당하고, 지방식품의약품안전청의 유해물질분석과, 시험분석센터, 수입식품검사소는 지방식품의약품안전청의 분장사무를 직접 처리하는 기관으로서 특별지방행정기관인 지방식품의약품안전청의 보조기관에 해당합니다(「행정기관의 조직과 정원에 관한 통칙」 제2조제6호 참조)."
315168,이유,13,"이상과 같은 점을 종합해 볼 때, 지방식품의약품안전청의 유해물질분석과, 시험분석센터, 수입식품검사소는 지방식품의약품안전청의 보조기관으로서 「부가가치세법 시행규칙」 제39조제1항제1호에 따른 부가가치세 면제 대상인 “「정부조직법」 제4조에 따른 부속기관에서 운영하는 시험소ㆍ연구소”에 해당하지 않음이 명백하므로, 지방식품의약품안전청의 유해물질분석과, 시험분석센터, 수입식품검사소에서 검사ㆍ연구를 위하여 사용하는 물품을 수입하는 경우에는 부가가치세가 면제되지 않는다고 할 것입니다."
