해석례일련번호,구분,문장번호,내용
327877,질의요지,1,"「도시개발법 시행령」 제11조제2항 본문에서는 「도시개발법」 제7조에 따라 주민의 의견을 청취하려는 경우 14일 이상 일반인에게 공람시키도록 규정하고 있는바, 해당 공람기간은 토요일 및 공휴일을 포함하여 산정해야 하는지?"
327877,질의요지,2,< 질의 배경 >
327877,질의요지,3,민원인은 위 질의요지에 대한 국토교통부의 회신 내용에 이견이 있어 법제처에 법령해석을 요청함.
327877,회답,4,「도시개발법 시행령」 제11조제2항 본문에 따른 공람기간은 토요일 및 공휴일을 포함하여 산정해야 합니다.
327877,이유,5,"「도시개발법 시행령」 제11조제2항 본문에서는 시장ㆍ군수 또는 구청장은 「도시개발법」 제7조에 따라 주민의 의견을 청취하려는 경우에는 입안할 도시개발구역의 지정 및 개발계획의 개요 등 각 호의 사항을 전국 또는 해당 지방을 주된 보급지역으로 하는 둘 이상의 일간신문과 해당 시ㆍ군 또는 구의 인터넷 홈페이지에 공고하고 14일 이상 일반인에게 공람시켜야 한다고 규정하고 있으나, 이 경우 공람기간을 산정하는 방법에 대해서는 별도로 규정하고 있지 않습니다."
327877,이유,6,"그런데 일반적으로 공법상 특정 규정이 없는 경우에는 공법상의 특수성에 반하지 않는 한 일반법 원리를 내용으로 하는 사법규정이나 순수한 법기술적 성질을 가지는 사법규정을 유추적용할 수 있고, 「민법」에서 정한 기간의 계산법은 사법관계는 물론 공법관계 등 모든 법률관계에 공통적으로 적용되는 일반규정으로 볼 수 있는바, 「민법」 제155조에서는 기간의 계산에 대해 법령, 재판상의 처분 또는 법률행위에서 다르게 정한 바가 없으면 같은 법 제1편제6장에 따르도록 규정하고 있으므로, 도시개발법령에서 공람기간을 산정하는 방법을 별도로 정하고 있지 않은 이상 「민법」의 기간 산정에 관한 규정이 적용되어 이에 따라 공람기간을 산정해야 합니다."
327877,이유,7,"따라서 「도시개발법 시행령」 제11조제2항에서 14일 이상으로 정한 공람기간의 경우 「민법」 제157조 전단, 제159조 및 제161조에 따라 그 공람기간의 초일은 원칙적으로 산입하지 않고 말일이 종료함으로써 기간이 만료하며, 그 기간의 말일이 토요일 또는 공휴일에 해당하는 때에는 그 익일로 기간이 만료한다고 보아야 하고, 그 기간 중 토요일 및 공휴일이 포함되어 있더라도 이를 배제하고 산정하도록 규정하고 있지 않으므로 토요일 및 공휴일을 포함하여 공람기간을 산정해야 합니다."
327877,이유,8,도시개발법
327877,이유,9,"제7조(주민 등의 의견청취)① 제3조에 따라 국토교통부장관, 시ㆍ도지사 또는 대도시 시장이 도시개발구역을 지정(대도시 시장이 아닌 시장ㆍ군수 또는 구청장의 요청에 의하여 지정하는 경우는 제외한다)하고자 하거나 대도시 시장이 아닌 시장ㆍ군수 또는 구청장이 도시개발구역의 지정을 요청하려고 하는 경우에는 공람이나 공청회를 통하여 주민이나 관계 전문가 등으로부터 의견을 들어야 하며, 공람이나 공청회에서 제시된 의견이 타당하다고 인정되면 이를 반영하여야 한다.도시개발구역을 변경(대통령령으로 정하는 경미한 사항은 제외한다)하려는 경우에도 또한 같다.② (생  략)"
327877,이유,10,도시개발법 시행령
327877,이유,11,"제11조(주민의 의견청취)① (생  략)② 시장ㆍ군수 또는 구청장은 제1항에 따라 관계 서류 사본을 송부받거나 법 제7조에 따라 주민의 의견을 청취하려는 경우에는 다음 각 호의 사항을 전국 또는 해당 지방을 주된 보급지역으로 하는 둘 이상의 일간신문과 해당 시ㆍ군 또는 구의 인터넷 홈페이지에 공고하고 14일 이상 일반인에게 공람시켜야 한다.다만, 도시개발구역의 면적이 10만 제곱미터 미만인 경우에는 일간신문에 공고하지 아니하고 공보와 해당 시ㆍ군 또는 구의 인터넷 홈페이지에 공고할 수 있다.1.입안할 도시개발구역의 지정 및 개발계획의 개요"
327877,이유,12,2.시행자 및 도시개발사업의 시행방식에 관한 사항
327877,이유,13,3.공람기간
327877,이유,14,4.그 밖에 국토교통부령으로 정하는 사항
327877,이유,15,③ ～ ⑤ (생  략)
327877,이유,16,민법
327877,이유,17,"제155조(본장의 적용범위)기간의 계산은 법령, 재판상의 처분 또는 법률행위에 다른 정한 바가 없으면 본장의 규정에 의한다.제159조(기간의 만료점)기간을 일, 주, 월 또는 연으로 정한 때에는 기간말일의 종료로 기간이 만료한다.제161조(공휴일 등과 기간의 만료점)기간의 말일이 토요일 또는 공휴일에 해당한 때에는 기간은 그 익일로 만료한다.<관계 법령>"
