해석례일련번호,구분,문장번호,내용
328217,질의요지,1,"사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에도, 해당 사업시행자는 「공익사업을 위한 토지 등의 취득 및 보상에 관한 법률」 제58조제1항제2호에 따라 토지수용위원회가 의뢰한 감정평가에 대한 감정수수료를 부담하여야 하는지?"
328217,질의요지,2,< 질의 배경 >
328217,질의요지,3,"ㅇ 전라남도는 손실보상재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 아니함을 확인하는 확정판결을 받은 경우에도 사업시행자가 해당 재결의 심리에 필요하여 실시된 감정평가의 감정수수료를 부담해야 하는지 여부를 국토교통부에 질의함.ㅇ 국토교통부가 토지보상법에서는 재결 결과의 번복여부에 따라 비용 부담의 주체를 달리하고 있지 않으므로 사업시행자가 감정수수료를 부담하여야 한다고 회신하자, 전라남도가 이에 이견이 있어 이 건에 대한 해석을 요청한 사안임."
328217,회답,4,"사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에도, 해당 사업시행자는 「공익사업을 위한 토지 등의 취득 및 보상에 관한 법률」 제58조제1항제2호에 따라 토지수용위원회가 의뢰한 감정평가에 대한 감정수수료를 부담하여야 합니다."
328217,이유,5,"「공익사업을 위한 토지 등의 취득 및 보상에 관한 법률」(이하 “토지보상법”이라 함)제58조제1항제2호에서는 토지수용위원회는 심리에 필요하다고 인정할 때에는 감정평가업자나 그 밖의 감정인에게 감정평가를 의뢰할 수 있다고 규정하고 있고, 같은 조 제3항에서는 토지수용위원회는 같은 조 제1항에 따른 감정평가업자나 그 밖의 감정인에게 국토교통부령으로 정하는 바에 따라 사업시행자의 부담으로 일당, 여비 및 감정수수료를 지급할 수 있다고 규정하고 있으며, 그 위임에 따라 같은 법 시행규칙 제13조에서는 토지보상법 제58조제3항에 따른 참고인과 감정인에 대한 일당ㆍ여비 및 감정수수료는 토지수용위원회가 정하되, 감정평가업자에 대한 감정수수료는 「감정평가 및 감정평가사에 관한 법률」 제23조에 따라 국토교통부장관이 결정ㆍ공고한 수수료와 실비의 합계액으로 한다고 규정하고 있는바,"
328217,이유,6,"이 사안은 사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에도, 사업시행자는 토지보상법 제58조제1항제2호에 따라 토지수용위원회가 의뢰한 감정평가에 대한 감정수수료를 부담하여야 하는지에 관한 것이라 하겠습니다."
328217,이유,7,"먼저, 법률의 문언 자체가 비교적 명확한 개념으로 구성되어 있다면 원칙적으로 더 이상 다른 해석방법은 활용할 필요가 없거나 제한될 수밖에 없다고 할 것인데(대법원 2009.4.23."
328217,이유,8,"선고 2006다81035 판결례 참조), 토지보상법 제58조제3항에서는 토지수용위원회는 참고인 또는 감정평가업자나 그 밖의 감정인에게 “사업시행자의 부담”으로 일당, 여비 및 감정수수료를 지급할 수 있다고 규정하고 있을 뿐이므로 재결에 불복하여 제기한 행정소송의 결과에 따라 일당, 여비 및 감정수수료에 대한 비용 부담의 주체가 변경된다고 규정하고 있지는 않은바, 토지수용위원회가 심리에 필요하다고 인정하여 감정평가업자나 그 밖의 감정인에게 감정평가를 의뢰한 경우라면 사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에도 사업시행자는 해당 감정평가에 대한 감정수수료를 부담하여야 한다고 보아야 할 것입니다."
328217,이유,9,"또한, 만약 사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에는 사업시행자가 감정수수료를 부담하지 않는다고 본다면, 그 감정수수료는 토지수용위원회 또는 재결 신청인이 부담하여야 한다고 보아야 할 것인데, 이를 토지수용위원회가 부담하여야 한다고 볼 경우에는 토지수용위원회가 감정수수료 등의 비용에 대한 부담으로 인하여 토지보상법 제58조제1항 각 호의 심리조사상의 권한을 적극적으로 행사하지 못하게 되어 재결에 대한 심리가 부실하게 이루어질 우려가 있고, 재결 신청인이 부담하여야 한다고 볼 경우에는 토지보상법 제58조제1항에서는 토지수용위원회의 심리조사상의 권한 행사에 대하여 재결 신청인의 승낙을 받도록 하는 등의 절차를 두고 있지 않기 때문에 재결 신청인의 의사와 관계없이 토지수용위원회의 필요에 따라 지출된 비용을 재결 신청인에게 부담하도록 하는 불합리한 결과가 발생한다는 점도 이 사안을 해석할 때 함께 고려할 필요가 있습니다."
328217,이유,10,"따라서, 사업시행자가 손실보상에 대한 토지수용위원회의 재결에 불복하여 제기한 행정소송에서 재결에 따른 손실보상금 채무가 존재하지 않음을 확인하는 확정판결을 받은 경우에도, 사업시행자는 토지보상법 제58조제1항제2호에 따라 토지수용위원회가 의뢰한 감정평가에 대한 감정수수료를 부담하여야 한다고 할 것입니다."
