해석례일련번호,구분,문장번호,내용
336657,질의요지,1,"「지방공기업법」 제54조제1항에서는 지방공사는 지방공사의 사업과 관계되는 사업을 효율적으로 수행하기 위하여 지방자치단체의 장의 승인을 받아 지방자치단체 외의 다른 법인에 출자할 수 있다고 규정하고 있고, 같은 조 제2항에서는 같은 조 제1항에 따른 출자를 하기 위하여 지방공사의 사장은 대통령령으로 정하는 방법 및 절차에 따라 출자의 필요성 및 타당성을 검토하여 지방자치단체의 장에게 보고하고 지방의회의 의결을 받아야 한다고 규정하고 있는바,"
336657,질의요지,2,"지방공사가 지방자치단체 외의 자(이하 “민간출자자”라 함)와 공동으로 출자하여 법인(이하 “특수목적법인”이라 함)을 설립하기 위하여 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 받고 그 출자를 완료하여 특수목적법인을 설립한 이후, 해당 특수목적법인에 공동으로 출자한 민간출자자를 변경하려는 경우 지방공사의 사장은 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 다시 받아야 하는지?"
336657,회답,3,"지방공사가 민간출자자와 공동으로 출자하여 특수목적법인을 설립하기 위하여 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 받고 그 출자를 완료하여 특수목적법인을 설립한 이후, 해당 특수목적법인에 공동으로 출자한 민간출자자를 변경하려는 경우 지방공사의 사장이 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 다시 받아야 하는 것은 아닙니다."
336657,이유,4,"「지방공기업법」 제54조제1항에서는 지방공사는 지방공사의 사업과 관계되는 사업을 효율적으로 수행하기 위하여 지방자치단체의 장의 승인을 받아 지방자치단체 외의 다른 법인에 출자할 수 있다고 규정하고 있고, 같은 조 제2항에서는 같은 조 제1항에 따른 출자를 하기 위하여 지방공사의 사장은 대통령령으로 정하는 방법 및 절차에 따라 출자의 필요성 및 타당성을 검토하여 지방자치단체의 장에게 보고하고 지방의회의 의결을 받아야 한다고 규정하고 있는바,"
336657,이유,5,"이 사안은 지방공사가 민간출자자와 공동으로 출자하여 특수목적법인을 설립하기 위하여 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 받고 그 출자를 완료하여 특수목적법인을 설립한 이후, 해당 특수목적법인에 공동으로 출자한 민간출자자를 변경하려는 경우 지방공사의 사장은 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 받아야 하는지에 관한 것이라 하겠습니다."
336657,이유,6,"먼저, 법령의 문언 자체가 비교적 명확한 개념으로 구성되어 있다면 원칙적으로 더 이상 다른 해석방법은 활용할 필요가 없거나 제한될 수밖에 없다고 할 것인데(대법원 2009.4.23."
336657,이유,7,"선고 2006다81035 판결례 참조), 「지방공기업법」 제54조제2항에서는 지방공사는 다른 법인에 “출자를 하기 위하여” 출자의 필요성 및 타당성을 검토하여 지방의회의 의결을 받도록 하고 있고, 같은 법 시행령 제47조의2제1항 및 제2항에서도 다른 법인에 “출자할 때에는” 전문기관의 사전검토를 거치도록 규정하고 있어, 지방공사가 다른 법인에 출자를 하기 전에는 출자의 필요성과 타당성에 대하여 지방의회의 의결을 받아야 하는 것이 분명하지만, 지방의회의 의결을 받아 이미 “출자가 완료된 이후에” 지방공사가 민간출자자와 공동으로 출자하여 설립한 특수목적법인의 민간출자자나 그 지분 비율의 변동 등에 대하여 지방의회의 의결을 다시 받도록 하는 별도의 규정을 두고 있지 않으므로 「지방공기업법」의 해석을 통해 이미 출자가 완료된 이후의 민간출자자나 그 지분 비율의 변동에 대하여 지방의회의 의결을 다시 받아야 한다고 할 수는 없을 것입니다."
336657,이유,8,"더욱이, 이미 출자가 완료된 특수목적법인의 주주가 주식을 양도함으로써 해당 법인의 구성원이 변경되는 것은 물적 회사의 본질적인 사항이라고 할 것이므로 특수목적법인 구성원의 변경에 대하여 사전에 지방의회의 의결을 받아야 한다고 해석하는 것은 명문의 법적 근거 없이 특수목적법인의 주주인 민간출자자의 재산권 행사를 제한하는 것으로서 허용되기 어렵다고 할 것입니다."
336657,이유,9,"다만, 당초 지방의회 의결 시 지분 비율이나 민간출자자와 관련하여 특별한 조건을 정한 경우 지방의회 의결을 다시 받아야 하는지가 문제될 수도 있으나, 이는 해당 지방의회 의결의 효력과 관련한 사항으로서 「지방공기업법」 제54조제2항의 규정과는 별개의 문제라고 할 것입니다."
336657,이유,10,"따라서, 지방공사가 민간출자자와 공동으로 출자하여 특수목적법인을 설립하기 위하여 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 받고 그 출자를 완료하여 특수목적법인을 설립한 이후, 해당 특수목적법인에 공동으로 출자한 민간출자자를 변경하려는 경우 지방공사의 사장이 「지방공기업법」 제54조제2항에 따라 지방의회의 의결을 다시 받아야 하는 것은 아닙니다."
336657,이유,11,※ 법령정비 권고사항
336657,이유,12,"「지방공기업법」 제54조제2항에서는 지방공사가 지방자치단체 외의 다른 법인에 출자를 하기 위하여만 지방공사의 사장으로 하여금 출자의 필요성 및 타당성을 검토하여 지방자치단체의 장에게 보고하고 지방의회의 의결을 받아야 한다고 규정하고 있는바, 지방공사가 지방자치단체 외의 다른 법인에 출자를 완료한 이후에도 출자의 필요성 및 타당성에 영향을 미치는 중대한 변경이 있는 경우에는 출자의 필요성과 타당성을 재검토할 필요성도 제기되고 있으므로, 입법 정책적으로 이를 합리적으로 개선하는 방안을 검토할 필요가 있습니다."
