해석례일련번호,구분,문장번호,내용
327183,질의요지,1,산림청장은 구 「산림법」(2005.8.4.
327183,질의요지,2,"법률 제7678호로 제정된 「산림자원의 조성 및 관리에 관한 법률」 부칙 제2조에 따라 폐지되기 전의 것을 말하며, 이하 같음)제80조제1항제2호 및 구 「산림법 시행규칙」(2002.11.14."
327183,질의요지,3,"농림부령 제1428호로 개정되기 전의 것을 말하며, 이하 같음)제68조제1항제1호에 따라 특별한 연고가 있는 국유림을 그 연고자에게 수의계약으로 매각할 수 있는바, 해당 규정에 따른 연고자에 해당하는 A회사가 B회사에 흡수합병되는 경우 합병 후 존속하는 B회사는 국유림을 수의계약으로 매각할 수 있는 대상에 해당하는지?"
327183,질의요지,4,< 질의 배경 >
327183,질의요지,5,민원인은 위 질의요지에 대해 산림청에 문의하였고 회신내용에 이견이 있어 법제처에 법령해석을 요청함.
327183,회답,6,이 사안의 경우 합병 후 존속하는 B회사는 국유림을 수의계약으로 매각할 수 있는 대상에 해당합니다.
327183,이유,7,"합병이란 두 개 이상의 회사가 계약에 의해 새로운 회사를 설립하거나(신설합병)그 중의 한 회사가 다른 회사를 흡수하여 존속하고(흡수합병), 이러한 신설회사 또는 존속회사 외의 다른 회사는 소멸하며 그 소멸회사의 재산과 사원(주주)이 법정 절차에 따라 신설회사 또는 존속회사에 이전ㆍ수용되는 효과를 가져 오는 것으로서1)1)대법원 2003.2.11."
327183,이유,8,선고 2001다14351 판결례 참조
327183,이유,9,일반적으로 합병이 있는 경우 피합병회사의 권리ㆍ의무는 사법상의 관계나 공법상의 관계를 불문하고 그의 성질상 이전을 허용하지 않는 것을 제외하고는 모두 합병으로 신설되거나 존속하는 회사에 승계됩니다2)2)대법원 2004.7.8.
327183,이유,10,선고 2002두1946 판결례 참조
327183,이유,11,.
327183,이유,12,"그런데 구 「산림법」 제80조제1항제2호에서는 산림청장이 수의계약으로 국유림을 매각할 수 있는 경우의 하나로 “특별한 연고가 있는 국유림을 그 연고자에게 매각할 때”를 규정하고 있고, 구 「산림법 시행규칙」 제68조제1항제1호에서는 구 「산림법」 제75조제1항에 따라 대부한 국유림 중 “대부기간이 5년 이상 경과되고 산림청장이 정하는 기준에 따라 대부목적이 달성된 국유림”을 규정하고 있으며, 대부목적의 달성 여부는 구 「국유재산관리사무취급요령」(2000.9.20."
327183,이유,13,"산림청훈령 제714호로 전문개정된 것을 말함)별표 3에 따라 대부 목적 용도별로 사업계획 이행 여부, 대부지관리평가기준3)3)문서번호 관리52630-366로 1993.5.24."
327183,이유,14,시행된 것을 말함.에 따른 평가 결과 점수 등을 기준으로 판단하게 됩니다.
327183,이유,15,"그렇다면 구 「산림법」 제80조제1항제2호에 따라 산림청장이 국유림을 수의계약으로 매각할 수 있는 대상인 연고자에 해당하는지 여부는 대부기간 5년 이상 경과 여부, 사업계획 이행 여부, 대부지관리평가기준에 따른 평가 결과 등 객관적 사정에 기초하여 결정되므로 연고자로서의 지위는 성질상 그 이전이 허용되지 않는 일신전속적인 성질의 것이라고 할 수 없습니다."
327183,이유,16,"따라서 이 사안의 경우 합병으로 소멸하는 A회사가 가지는 연고자의 지위는 합병으로 존속하는 B회사에 승계된다고 보아야 하고, 산림청장이 해당 국유림의 매각 결정을 할 것인지 여부는 별론으로 하더라도 합병 후 존속하는 B회사는 국유림을 수의계약으로 매각할 수 있는 대상에 해당합니다.< 관계 법령>"
327183,이유,17,구 「산림법」(2005.8.4.
327183,이유,18,법률 제7678호로 제정된 「산림자원의 조성 및 관리에 관한 법률」 부칙에 따라 폐지되기 전의 것을 말함)제80조 (국유림의 매각등)①산림청장은 제72조제1항의 규정에 의하여 국유림을 매각하는 경우에 다음 각호의 1에 해당하는 때에는 농림부령이 정하는 바에 따라 수의계약으로 매각할 수 있다.1.공용 또는 공공용에 사용하기 위하여 필요할 때
327183,이유,19,2.특별한 연고가 있는 국유림을 그 연고자에게 매각할 때
327183,이유,20,3.산림조합 또는 산림조합중앙회에 매각할 때
327183,이유,21,② 삭  제
327183,이유,22,"③국유림의 매각절차와 매각대금의 결정, 납부기간, 납부방법등에 관하여 필요한 사항은 대통령령으로 정한다."
327183,이유,23,구 「산림법 시행규칙」(2002.11.14.
327183,이유,24,"농림부령 제1428호로 개정되기 전의 것을 말함)제68조 (특별한 연고가 있는 국유림의 매각)①법 제80조제1항제2호에서 “특별한 연고가 있는 국유림”이라 함은 다음 각호의 1에 해당하는 산림을 말한다.1.법 제75조제1항의 규정에 의하여 대부한 국유림중 대부기간이 5년 이상 경과되고, 산림청장이 정하는 기준에 따라 대부목적이 달성된 국유림"
327183,이유,25,2.1980년 6월 30일 이전에 조림목적으로 대부를 받았거나 그 대부림을 분수림으로 전환한 국유림
327183,이유,26,② 삭  제
327183,이유,27,구 「산림법 시행규칙」(2002.11.14.
327183,이유,28,농림부령 제1428호로 개정된 것)제68조 (특별한 연고가 있는 국유림의 매각)법 제80조제1항제2호에서 “특별한 연고가 있는 국유림”이라 함은 1980년 6월 30일 이전에 조림목적으로 대부를 받았거나 그 대부림을 분수림으로 전환한 국유림을 말한다.부  칙
327183,이유,29,③ (국유림의 수의계약에 의한 매각에 관한 경과조치)이 규칙 시행전에 종전의 제68조제1항제1호의 규정에 해당되는 특별한 연고가 있는 국유림을 이 규칙 시행후 법 제80조제1항제2호의 규정에 의하여 수의계약으로 매각하고자 하는 경우에는 종전의 제68조제1항제1호의 규정을 적용한다.
