해석례일련번호,구분,문장번호,내용
334207,질의요지,1,"「지방교육자치에 관한 법률」(이하 “교육자치법”이라 함)제24조제2항에서는 교육감후보자가 되려는 사람은 후보자등록신청개시일을 기준으로 교육경력(제1호)이나 교육행정경력(제2호)의 어느 하나에 해당하는 경력 또는 해당 경력을 합한 경력이 3년 이상 있는 사람이어야 한다고 규정하고 있고, 같은 항 제1호에서는 교육경력으로 「고등교육법」 제2조에 따른 학교(이하 “대학”이라 함)에서 교원으로 근무한 경력을 규정하고 있으며,"
334207,질의요지,2,"「고등교육법」 제14조에서는 대학에 두는 교원(제2항)과 구분하여 조교를 규정(제3항)하고 있는 반면, 구 「교육법」(1998년 3월 1일 법률 제5437호로 폐지되기 전의 것을 말하며, 이하 같음)제75조제1항제2호, 제79조제3항 및 별표 3에서는 조교를 대학 교원의 하나로 규정하고 있었는바,"
334207,질의요지,3,구 「교육법」 시행 당시 대학에서 조교로 근무한 경력이 교육자치법 제24조제2항제1호에 따른 “교육경력”에 해당하는지?
334207,회답,4,구 「교육법」 시행 당시 대학에서 조교로 근무한 경력은 교육자치법 제24조제2항제1호에 따른 “교육경력”에 해당하지 않습니다.
334207,이유,5,"교육자치법 제24조제2항에서는 교육감후보자가 되려는 사람은 후보자등록신청개시일을 기준으로 교육경력(제1호)이나 교육행정경력(제2호)의 어느 하나에 해당하는 경력 또는 해당 경력을 합한 경력이 3년 이상 있는 사람이어야 한다고 규정하고 있고, 같은 항 제1호에서 교육경력을 규정하면서 그 세부 경력 사항을 “「유아교육법」 제2조제2호에 따른 유치원, 「초ㆍ중등교육법」 제2조 및 「고등교육법」 제2조에 따른 학교(이와 동등한 학력이 인정되는 교육기관 또는 평생교육시설로서 다른 법률에 따라 설치된 교육기관 또는 평생교육시설을 포함함)에서 교원으로 근무한 경력”으로 규정하고 있는바, 대학에서 조교로 근무한 경력이 교육경력으로 인정되려면 “조교”가 “교원”의 범위에 포함되어야 할 것입니다."
334207,이유,6,"그런데 「고등교육법」 제14조에서는 교직원의 구분에 대해 규정하면서 교원은 총장이나 학장 외에 교수ㆍ부교수ㆍ조교수 및 강사로 구분하고(제2항), 학교운영에 필요한 행정직원 등 직원과 조교를 둔다고 규정(제3항)하고 있으며, 같은 법 제15조에서는 각 교직원의 임무를 규정하면서 “교원”은 학생을 교육ㆍ지도하고 학문을 연구하되, 필요한 경우 교육ㆍ지도, 학문연구 또는 산학연협력만을 전담할 수 있다(제2항)고 규정하고 있는 반면, “조교”는 “교육ㆍ연구 및 학사에 관한 사무를 보조한다”(제4항)고 규정하고 있는바, 이러한 「고등교육법」의 규정에 따르면, “교원”과 “조교”는 각기 구분되는 개념으로서 그 임무도 서로 다르므로, 대학에서 조교로 근무한 경력은 교육자치법 제24조제2항제1호에 따른 “교육경력”, 즉, “교원으로 근무한 경력”에 해당하지 않음1)1)법제처 2016.10.27."
334207,이유,7,회신 16-0469 해석례 참조
334207,이유,8,이 명확합니다.
334207,이유,9,"한편 현행 「고등교육법」상 조교가 교원에 포함되지 않더라도, 구 「교육법」 규정에 따르면 대학의 조교가 교원에 포함되어 있었으므로, 구 「교육법」시행 당시 조교로 근무한 경력은 교육자치법 제24조제2항제1호에 따른 교육경력에 해당한다는 의견이 있습니다."
334207,이유,10,"그러나 법령이 개정되는 경우, 구법령과 신법령의 적용상 혼란을 방지하기 위하여 신법 조항이 어떤 사람 또는 사항에 대하여 적용되는지 그 적용관계를 규정하는 적용례를 두거나 제도의 변화와 법적 안정성을 조화시키기 위하여 일정한 사람이나 사항에 대하여 구법령의 규정을 적용하도록 하는 경과조치를 두는데, 이와 같은 적용례나 경과조치를 두지 않았다면 신법령 시행 이후에는 원칙적으로 신법령이 적용된다고 할 것2)2)법제처 2010.12.23."
334207,이유,11,회신 10-0423 해석례 참조
