결정례일련번호,구분,문장번호,내용
171551,전문,1,사           건          2021헌마1519    코로나19 예방접종 4분기 시행계획 위헌확인
171551,전문,2,청    구    인          김○○○
171551,전문,3,피   청    구    인         질병관리청장
171551,전문,4,[주           문]
171551,전문,5,이 사건 심판청구를 각하한다.[이           유]
171551,전문,6,1.사건개요
171551,전문,7,가.피청구인은 2021.9.27.
171551,전문,8,"‘12세~17세 소아청소년에 대한 코로나19 백신 접종계획’(이하 ‘이 사건 계획’이라 한다)을 포함한 코로나19 백신 예방 접종 4분기 시행계획을 수립하였다.나.청구인은 본인에게 16세인 자녀가 있는데, 피청구인이 이 사건 계획을 통해 소아청소년인 자녀에 대한 코로나19 백신 예방접종을 강제하여 청구인의 기본권을 침해한다고 주장하면서 2021.12.12."
171551,전문,9,이 사건 헌법소원심판을 청구하였다.
171551,전문,10,2.판단
171551,전문,11,"국민적 구속력을 갖는 행정계획은 공권력의 행사로 볼 수 있지만, 구속력을 갖지 않고 사실상의 준비행위나 사전안내 또는 행정기관 내부의 지침에 지나지 않는 행정계획은 원칙적으로 헌법소원의 대상이 되는 공권력의 행사라 할 수 없다(헌재 2011.12.29."
171551,전문,12,2009헌마330 등 참조).
171551,전문,13,"청구인의 주장과 같이 이 사건 헌법소원심판청구의 대상을 이 사건 계획으로 삼더라도 이 사건 계획은 소아청소년에 대한 코로나19 백신 연령별 예약 및 접종 시기, 백신 종류, 접종 기관, 접종 방법을 내용으로 한 것으로서, 직접 구속력을 갖지 않고 사실상의 준비행위나 사전안내 또는 행정기관 내부의 지침에 지나지 않은 행정계획에 해당하여 헌법소원의 대상이 되는 공권력의 행사로 볼 수 없다."
171551,전문,14,3.결론
171551,전문,15,"그렇다면, 이 사건 심판청구는 부적법하므로 헌법재판소법 제72조 제3항 제4호에 따라 이를 각하하기로 하여, 관여 재판관 전원의 일치된 의견으로 주문과 같이 결정한다."
