법령일련번호,MST,구분,문장번호,내용
009354,240007,조문,1,제1조(목적) 이 규칙은 「항공보안법」 및 같은 법 시행령에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다. <개정 2014.4.4>
009354,240007,조문,2,"제1조의2(장비운영자) 「항공보안법」(이하 ""법""이라 한다) 제2조제11호에서 ""국토교통부령으로 정하는 자""란 「항공사업법」 제2조제33호에 따른 도심공항터미널업자(이하 ""도심공항터미널업자""라 한다)를 말한다."
009354,240007,조문,3,"제2조(협조의무자) 법 제5조에서 ""국토교통부령으로 정하는 자""란 다음 각 호의 어느 하나에 해당하는 자를 말한다. <개정 2013.3.23, 2014.4.4, 2017.3.30, 2017.11.3, 2018.12.21>"
009354,240007,항,4,
009354,240007,호,5,1. 「공항시설법」 제6조제2항 또는 제43조제2항에 따라 국토교통부장관의 허가를 받아 비행장 또는 항행안전시설을 설치한 자
009354,240007,호,6,2. 도심공항터미널업자
009354,240007,조문,7,"제3조(기본계획의 통보) 법 제9조제1항에서 ""국토교통부령으로 정하는 자""란 다음 각 호의 어느 하나에 해당하는 자를 말한다."
009354,240007,항,8,
009354,240007,호,9,1. 도심공항터미널업자
009354,240007,호,10,2. 법 제12조에 따라 지정된 보호구역에 상주하는 기관으로서 다음 각 목의 어느 하나에 해당하는 기관
009354,240007,목,11,가. 「고등교육법」 제2조에 따른 교육기관
009354,240007,목,12,나. 「항공사업법」 제2조제15호에 따른 항공기사용사업을 하는 자
009354,240007,목,13,다. 「항공안전법」 제2조제1호 가목 및 나목에 따른 비행기나 헬리콥터를 소유하거나 임차해서 사용하는 자
009354,240007,목,14,라. 「항공안전법」 제48조제1항에 따른 전문교육기관
009354,240007,호,15,3. 법 제17조의2제1항에 따른 상용화주
009354,240007,조문,16,제3조의2(국가항공보안계획의 내용 등)
009354,240007,항,17,"① 법 제10조제1항에 따른 국가항공보안계획(이하 ""국가항공보안계획""이라 한다)에는 다음 각 호의 내용이 포함되어야 한다. <개정 2014.4.4>"
009354,240007,호,18,"1. 법 제9조제1항에 따른 공항운영자등(이하 ""공항운영자등""이라 한다)의 항공보안에 대한 임무"
009354,240007,호,19,"2. 법 제27조제1항에 따른 항공보안장비(이하 ""항공보안장비""라 한다)의 관리"
009354,240007,호,20,3. 법 제28조제2항에 따른 교육훈련
009354,240007,호,21,"4. 법 제31조제1항에 따른 국가항공보안 우발계획(이하 ""우발계획""이라 한다)"
009354,240007,호,22,5. 법 제33조제1항에 따른 점검업무 등
009354,240007,호,23,6. 항공보안에 관한 국제협력
009354,240007,호,24,7. 그 밖에 항공보안에 관하여 필요한 사항
009354,240007,항,25,"② 국토교통부장관은 국가항공보안계획을 수립하는 경우에는 법 제7조제1항에 따른 항공보안협의회의 협의를 거쳐야 한다. <개정 2013.3.23, 2014.4.4>"
009354,240007,조문,26,"제3조의3(자체 보안계획의 승인 등) 국토교통부장관 또는 지방항공청장은 법 제10조제2항에 따라 자체 보안계획을 승인하려 할 때에는 다음 각 호의 사항을 검토하여야 한다. <개정 2013.3.23, 2014.4.4, 2015.11.5>"
009354,240007,항,27,
009354,240007,호,28,1. 국가항공보안계획과의 적합성
009354,240007,호,29,2. 법 제3조에 따른 국제협약 및 「국제민간항공협약」 부속서 17 등과의 적합성
009354,240007,조문,30,제3조의4(공항운영자의 자체 보안계획)
