법령일련번호,MST,구분,문장번호,내용
008722,176375,조문,1,제1조(목적) 이 규칙은 「지방자치법 시행령」 제95조 및 제101조의 규정에 의하여 행정협의회의 구성 및 운영에 관하여 필요한 사항을 규정함을 목적으로 한다. <개정 2015.11.16>
008722,176375,조문,2,"제2조(구성) 「지방자치법 시행령」 제95조의 규정에 의한 행정협의회(이하 ""협의회""라 한다)의 구성은 수도권협의회의 경우 서울특별시장·인천광역시장·경기도지사로 하되 특히 필요한 때에는 강원도지사 및 충청북도지사가 포함될 수 있도록 하며, 대도시권협의회의 경우 관련 광역시장, 특별자치시장, 도지사 및 특별자치도지사로, 그 밖의 협의회는 관련 시장·군수·자치구의 장으로 한다. <개정 2015.11.16>"
008722,176375,조문,3,제3조(회의참석)
008722,176375,항,4,"①협의회를 원활하게 운영하기 위하여 수도권협의회 및 대도시권협의회에는 관계중앙행정기관의 공무원이, 그 밖의 협의회에는 관계 특별시, 광역시, 특별자치시, 도, 특별자치도의 공무원이 참석할 수 있다. <개정 2015.11.16>"
008722,176375,항,5,②수도권협의회 및 대도시권협의회에는 관련 시·군·자치구의 장이 참석하여 관련자료를 제출하거나 의견을 진술할 수 있다.
008722,176375,조문,6,제4조(회의)
008722,176375,항,7,"①협의회의 회의는 정기회의와 수시회의로 구분하고, 정기회의는 매년 2월부터 3월사이와 8월부터 9월사이에 각 1회 개최하며, 수시회의는 관계지방자치단체의 장의 요구가 있는 때에 회장이 이를 소집한다."
008722,176375,항,8,②관계지방자치단체는 적극적인 협의회의 운영을 통하여 모든 문제를 합리적이고 원활하게 처리하여야 한다.
008722,176375,항,9,③수도권협의회 및 대도시권협의회의 원활한 운영을 위하여 각 관계지방자치단체에 전담직원을 두어야 한다.
008722,176375,조문,10,제5조(협의사항) 협의회는 관계지방자치단체간에 관련되는 다음 각호의 사항에 관하여 협의한다.
008722,176375,항,11,
008722,176375,호,12,1. 도시계획의 수립 및 변경시행
008722,176375,호,13,2. 주택단지 및 공업단지의 조성
008722,176375,호,14,3. 도로의 신설 및 개수·보수
008722,176375,호,15,4. 버스노선의 신설·변경 및 폐지
008722,176375,호,16,5. 상·하수도 시설의 설치
008722,176375,호,17,6. 환경오염 방지시설 및 감시에 관한 사항
008722,176375,호,18,"7. 자원의 개발, 이용 및 조사에 관한 사항"
008722,176375,호,19,"8. 기타 공공시설의 설치, 관리에 관한 사항"
008722,176375,호,20,9. 제1호 내지 제8호외에 협의회의 협의를 거치는 것이 바람직하다고 인정되는 사항
008722,176375,조문,21,제6조(협의사항의 조정) 「지방자치법」 제156조의 규정에 의한 조정요청은 수도권협의회 또는 대도시권협의회에 있어서는 2회이상 협의를 하여도 합의가 이루어지지 아니하는 경우에 한하여 이를 할 수 있다. <개정 2015.11.16>
008722,176375,조문,22,제7조(실무협의회)
008722,176375,항,23,①협의회에 관계지방자치단체의 기획업무를 총괄하는 실장 및 협의사항과 관련되는 업무를 담당하는 국장 또는 과장을 위원으로 하는 실무협의회를 둘 수 있다. <개정 1994.12.8>
008722,176375,항,24,"②실무협의회는 협의회의 협의사항을 미리 검토하고, 협의회에 검토의견서를 제출하여야 한다."
008722,176375,조문,25,제8조(규약) 협의회의 운영에 관하여 이 규칙에 규정된 것 외에 기타 필요한 사항은 당해협의회의 규약으로 정한다.
