법령일련번호,MST,구분,문장번호,내용
006579,247981,조문,1,제1조(목적) 이 규칙은 「구강보건법」 및 같은 법 시행령에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다. <개정 2015.11.19>
006579,247981,조문,2,제2조(구강보건사업계획 등의 통보)
006579,247981,항,3,"①보건복지부장관은 「구강보건법」(이하 ""법""이라 한다) 제5조제1항에 따라 구강보건사업기본계획을 수립한 경우에는 그 계획이 실시되는 연도의 전년도 9월 30일까지 특별시장ㆍ광역시장ㆍ특별자치시장ㆍ도지사ㆍ특별자치도지사(이하 ""시ㆍ도지사""라 한다)에게 통보하여야 한다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,항,4,"②시ㆍ도지사는 법 제6조제1항에 따라 특별시ㆍ광역시ㆍ특별자치시ㆍ도ㆍ특별자치도(이하 ""시ㆍ도""라 한다)의 구강보건사업세부계획을 수립한 후 이를 그 계획이 실시되는 연도의 전년도 10월 31일까지 시장ㆍ군수ㆍ구청장(자치구의 구청장을 말한다. 이하 같다)에게 통보하여야 한다. <개정 2015.11.19>"
006579,247981,항,5,③시장ㆍ군수ㆍ구청장은 법 제6조제2항에 따라 해당 시ㆍ군ㆍ구(자치구를 말한다. 이하 같다)의 구강보건사업시행계획을 수립한 후 이를 그 계획이 실시되는 연도의 전년도 11월 30일까지 관할 시ㆍ도지사에게 통보하여야 한다. <개정 2015.11.19>
006579,247981,항,6,"④시ㆍ도지사는 구강보건사업세부계획을 제3항에 따라 통보받은 시ㆍ군ㆍ구의 구강보건사업시행계획과 함께 그 계획이 실시되는 연도의 전년도 12월 31일까지 보건복지부장관에게 통보하여야 한다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,조문,7,제3조(구강보건사업 시행결과의 제출 및 평가)
006579,247981,항,8,①시장ㆍ군수ㆍ구청장은 법 제8조제1항에 따라 구강보건사업시행계획의 시행결과를 시행이 완료되는 연도의 다음 연도 1월 31일까지 관할 시ㆍ도지사에게 제출하여야 한다. <개정 2015.11.19>
006579,247981,항,9,"②법 제8조제2항에 따라 시ㆍ도지사는 제1항에 따라 제출된 시ㆍ군ㆍ구의 구강보건사업시행계획의 시행결과를 평가한 후 그 평가결과와 해당 시ㆍ도의 구강보건사업세부계획의 시행결과를 시행이 완료되는 연도의 다음 연도 2월 말일까지 보건복지부장관에게 제출하여야 한다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,항,10,"③보건복지부장관 및 시ㆍ도지사는 구강보건사업시행계획 및 구강보건사업세부계획의 시행결과를 평가할 때에는 그 계획과 추진실적에 기초하여 평가하되, 필요하다고 인정하는 경우에는 해당 계획에 의하여 변화된 다음 각 호의 사항을 조사하여 평가에 포함시킬 수 있다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,호,11,1. 해당 시ㆍ도 또는 시ㆍ군ㆍ구의 주민의 구강건강에 대한 지식ㆍ태도 및 행동
006579,247981,호,12,2. 해당 시ㆍ도 또는 시ㆍ군ㆍ구의 주민의 구강질환의 증감 등 구강건강상태
006579,247981,조문,13,제4조(불소제제 등)
006579,247981,항,14,"①법 제10조제1항제3호에 따른 불소제제 및 불소화합물 첨가시설은 다음 각 호와 같다. 이 경우 불소제제의 표준규격 및 기준 등은 보건복지부장관이 정하는 바에 따른다. <개정 2004.2.28, 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,호,15,"1. 불소제제: 불화나트륨, 불화규산 및 불화규소나트륨"
006579,247981,호,16,2. 불소화합물 첨가시설: 정량 불소화합물 첨가기
006579,247981,항,17,"②법 제10조제1항제4호에 따라 시ㆍ도지사, 시장ㆍ군수ㆍ구청장 또는 한국수자원공사사장이 유지하려는 수돗물불소농도는 0.8피피엠으로 하되, 그 허용범위는 최대 1.0피피엠, 최소 0.6피피엠으로 한다. <개정 2015.11.19>"
006579,247981,조문,18,"제5조(수돗물불소농도조정사업계획의 내용) 법 제10조제1항제5호에서 ""그 밖에 보건복지부령으로 정하는 사항""이란 다음 각 호의 사항을 말한다. <개정 2004.2.28, 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,항,19,
006579,247981,호,20,1. 수돗물불소농도조정사업 대상 국민의 안전관리에 관한 사항
006579,247981,호,21,2. 수돗물불소농도조정사업의 발전방안에 관한 사항
006579,247981,호,22,3. 수돗물불소농도조정사업계획의 평가에 관한 사항
006579,247981,호,23,4. 그 밖에 보건복지부장관이 수돗물불소농도조정사업계획의 수립 및 시행에 필요하다고 인정하는 사항
006579,247981,조문,24,제6조(지원단의 구성 및 운영 등)
006579,247981,항,25,"①「구강보건법 시행령」(이하 ""영""이라 한다) 제8조제1항에 따른 수돗물불소농도조정사업기술지원단(이하 ""지원단""이라 한다)은 단장 1인을 포함한 10인 이내의 단원으로 구성하되, 단원은 다음 각 호의 어느 하나에 해당하는 사람 중에서 각각 보건복지부장관이 임명 또는 위촉하는 사람으로 한다. <개정 2004.2.28, 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,호,26,1. 구강보건관련 전문가
006579,247981,호,27,2. 관계 공무원
006579,247981,호,28,3. 그 밖에 보건복지부장관이 수돗물불소농도조정사업 기술지원 및 자문에 필요하다고 인정하는 사람
006579,247981,항,29,"②단장은 보건복지부장관이 단원 중에서 지명하는 사람이 된다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,항,30,"③영 제8조제2항에 따른 기술지원 사항은 다음 각 호와 같다. <개정 2004.2.28, 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,호,31,1. 수돗물불소농도조정사업계획의 수립 및 시행에 필요한 기술적인 지원
006579,247981,호,32,2. 불소화합물 첨가기 설치 지원
006579,247981,호,33,3. 불소농도의 적정 유지에 대한 기술적인 지원 및 지도
006579,247981,호,34,4. 불소화합물 첨가시설의 유지ㆍ관리에 대한 기술적인 지원 및 지도
006579,247981,호,35,5. 수돗물불소농도조정사업의 평가지원
006579,247981,호,36,6. 그 밖에 보건복지부장관이 필요하다고 인정하는 사항
006579,247981,항,37,"④지원단의 단원에게는 예산의 범위안에서 수당과 여비를 지급할 수 있다. 다만, 공무원인 단원이 그 소관업무와 직접 관련하여 기술지원업무를 하는 경우에는 그러하지 아니하다."
006579,247981,항,38,"⑤지원단의 운영에 관하여 이 규칙에서 규정한 사항 외에 필요한 사항은 보건복지부장관이 정하는 바에 따른다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,조문,39,제7조(상수도사업소장의 업무 등)
006579,247981,항,40,"①법 제11조제2항에 따라 시ㆍ도지사, 시장ㆍ군수ㆍ구청장 및 한국수자원공사사장(이하 ""사업관리자""라 한다)이 수돗물불소농도조정사업과 관련된 업무 중 상수도사업소장(한국수자원공사의 경우에는 상수도시설의 운영자를 말한다. 이하 같다)으로 하여금 수행하게 할 수 있는 업무는 다음 각 호와 같다. <개정 2004.2.28, 2008.3.3, 2010.3.19, 2015.11.19>"
006579,247981,호,41,1. 불소화합물 첨가
006579,247981,호,42,2. 불소농도 유지
006579,247981,호,43,3. 불소농도 측정 및 기록
006579,247981,호,44,4. 불소화합물 첨가시설의 운영ㆍ유지관리
006579,247981,호,45,5. 불소화합물 첨가 담당자의 안전관리
006579,247981,호,46,6. 불소제제의 보관 및 관리
006579,247981,호,47,7. 그 밖에 보건복지부장관이 불소화합물 첨가의 적정화와 안정성 확보를 위하여 필요하다고 인정하는 사항
006579,247981,항,48,②상수도사업소장은 제1항제3호에 따른 업무를 수행하는 경우에는 1일 1회 이상 정수장에서 불소농도를 측정하고 그 결과를 별지 제1호서식의 불소농도 측정일지에 기록하여야 한다. <개정 2015.11.19>
006579,247981,항,49,"③상수도사업소장은 제2항에 따른 매월의 불소농도 측정결과를 측정한 달의 다음 달 10일까지 사업관리자에게 통보하여야 하며, 사업관리자는 통보를 받은 날부터 5일 이내에 보건복지부장관에게 통보하여야 한다. <개정 2008.3.3, 2010.3.19, 2015.11.19>"
