법령일련번호,MST,구분,문장번호,내용
009919,71730,조문,1,"제1조 (목적) 이 규칙은 「공직선거법」에 의한 공직선거의 전자투표 및 전자선거사업의 추진을 위하여 중앙선거관리위원회(이하 ""중앙위원회""라 한다) 소속하에 전자선거추진협의회(이하 ""협의회""라 한다)를 설치하고, 그 운영에 관하여 필요한 사항을 규정함을 목적으로 한다. <개정 2005.8.4>"
009919,71730,조문,2,제2조 (기능)
009919,71730,항,3,①협의회는 전자투표 및 전자선거사업의 추진에 관하여 다음 각호의 사항을 협의한다.
009919,71730,호,4,1. 사업의 추진방향 및 추진전략에 관한 사항
009919,71730,호,5,2. 사업시행을 위한 정치적·사회적 기반 조성에 관한 사항
009919,71730,호,6,3. 사업추진부처간 역할 설정 및 업무분담·시행에 관한 사항
009919,71730,호,7,4. 기타 사업의 효과적 추진을 위하여 협의가 필요한 사항
009919,71730,항,8,"②「공직선거법」 제278조(전산조직에 의한 투표·개표)제4항의 규정에 의한 전자투표·개표 실시여부에 대한 국회에 교섭단체를 가지는 정당(이하 ""국회교섭단체구성정당""이라 한다)과의 협의는 국회교섭단체구성정당이 소속 국회의원 중에서 추천한 자가 협의회에 참여하는 방법으로 한다. <개정 2005.8.4>"
009919,71730,항,9,③중앙위원회는 국회교섭단체구성정당에 「공직선거법」 제278조제4항의 규정에 의한 협의방법을 통지하여야 한다. <개정 2005.8.4>
009919,71730,조문,10,제3조 (구성 등)
009919,71730,항,11,"①협의회 설치기간은 4년으로 하되, 중앙위원회위원장은 필요한 경우 그 기간을 연장할 수 있다."
009919,71730,항,12,"②협의회는 국회교섭단체구성정당이 추천하는 소속 국회의원 각 1인을 포함하여 15인 이내의 위원으로 구성하되, 다음 각호에 해당하는 자 중에서 중앙위원회위원장이 위촉한다."
009919,71730,호,13,1. 국회에 의석을 가지는 정당이 추천하는 소속 국회의원 각 1인
009919,71730,호,14,2. 행정자치부·정보통신부 등 관계 중앙행정기관과 중앙위원회의 차관 또는 그에 상당하는 직에 있는 자
009919,71730,호,15,3. 「정보화촉진기본법」 제10조(한국전산원의 설립)의 규정에 의한 한국전산원의장
009919,71730,호,16,"4. 선거 및 정보화에 관한 전문지식과 경험이 풍부한 자로서 연구기관, 학계, 시민단체 등의 대표급 인사"
009919,71730,호,17,5. 기타 중앙위원회위원장이 필요하다고 인정하는 자
009919,71730,항,18,"③협의회 위원의 임기는 2년으로 하되, 연임할 수 있다. 다만, 중앙위원회위원장은 협의회 위원의 원 소속기관·단체의 인사발령 기타 부득이한 사유가 있는 때에는 임기만료전이라도 해촉할 수 있다."
009919,71730,조문,19,제4조 (위원장)
009919,71730,항,20,①위원장은 위원중에서 호선한다.
009919,71730,항,21,②위원장은 협의회를 대표하며 그 회무를 통할한다.
009919,71730,항,22,③위원장이 부득이한 사유로 직무를 수행할 수 없는 때에는 위원장이 미리 지명한 위원이 그 직무를 대행한다.
009919,71730,조문,23,제5조 (회의운영)
009919,71730,항,24,"①협의회의 회의는 분기별 1회 위원장이 소집하되, 중앙위원회위원장의 요구가 있을 때와 위원장이 필요하다고 인정할 때에는 그때마다 소집할 수 있다."
009919,71730,항,25,②위원은 협의회에서 협의된 사항에 대하여 소속 정당·기관·단체의 의견을 수렴하여 협의회에 제출하여야 한다.
009919,71730,항,26,"③제12조(간사 및 서기)의 규정에 의한 간사는 협의회 회의시마다 회의진행상황과 협의사안 등을 회의록에 기록하여야 하며, 다음 회의시에 이를 보고하고 참석한 위원들의 확인·서명을 받아야 한다."
009919,71730,항,27,④위원장은 협의안건과 관련있는 공무원이나 민간전문가를 회의에 출석시켜 발언하도록 할 수 있다.
009919,71730,조문,28,제6조 (실무추진단의 구성·운영)
009919,71730,항,29,"①협의회의 업무를 효율적으로 지원하기 위하여 협의회의 산하에 전자선거실무추진단(이하 ""실무추진단""이라 한다)을 둘 수 있다."
009919,71730,항,30,"②실무추진단은 중앙위원회, 협의회 위원을 추천한 각 정당·관계 중앙행정기관 및 기관·단체 등의 실·국장 또는 그에 상당하는 직에 있는 자로 구성한다."
009919,71730,항,31,③실무추진단은 전자투표 및 전자선거사업에 관한 조사·연구 및 사업추진상황에 대하여 협의회에 보고하여야 한다.
009919,71730,조문,32,"제7조 (전자선거자문위원회의 활용) 중앙위원회위원장은 전자선거사업을 추진함에 있어 전문지식을 활용하고 협의회를 지원하기 위하여 필요하다고 인정하는 경우에는 학계, 언론·시민단체, 전문가 등으로 전자선거자문위원회를 구성·운영할 수 있다."
009919,71730,조문,33,"제8조 (조사·연구) 협의회는 협의회의 사업추진과 관련하여 조사·연구가 필요한 때에는 위원, 실무추진단원, 전자선거자문위원회 또는 그 위원 등을 지정하여 조사·연구를 의뢰할 수 있다."
009919,71730,조문,34,"제9조 (여론수렴 및 조성) 협의회는 업무수행을 위하여 필요한 때에는 공청회, 세미나, 여론조사 등을 통하여 여론을 수렴할 수 있다."
009919,71730,조문,35,"제10조 (자료제출 및 협조요구) 중앙행정기관, 지방자치단체, 공공기관·단체는 협의회로부터 전자투표 및 전자선거사업추진과 관련되는 자료와 의견의 제출요구를 받은 때에는 우선적으로 이에 협조하여야 한다."
009919,71730,조문,36,제11조 (수당 등)
009919,71730,항,37,①중앙위원회는 협의회의 회의에 참석한 위원 및 실무추진단원(중앙위원회 소속공무원을 제외한다. 이하 이 조에서 같다)에게 예산의 범위안에서 수당 및 실비를 지급하여야 한다.
009919,71730,항,38,"②중앙위원회는 협의회위원, 실무추진단원, 자문위원 기타 전자투표 및 전자선거사업의 추진을 위한 조사·연구·자문 등 협조인력에게 예산의 범위안에서 이에 필요한 경비를 지급하여야 한다."
009919,71730,항,39,③중앙위원회는 협의회로부터 협의회의 운영과 사업의 추진에 필요한 예산지원을 요청받은 때에는 예산의 범위안에서 우선적으로 이를 지원하여야 한다.
009919,71730,조문,40,"제12조 (간사 및 서기) 중앙위원회위원장은 협의회의 사무처리를 위하여 협의회에 간사 1인과 서기 약간명을 두되, 소속 공무원중에서 지명한다."
009919,71730,조문,41,제13조 (운영규정) 이 규칙에 규정된 사항이외에 협의회의 운영에 관하여 필요한 사항은 협의회가 중앙위원회위원장과 협의하여 정한다.
