법령일련번호,MST,구분,문장번호,내용
005668,256753,조문,1,제1조(목적) 이 영은 「화장품법」에서 위임된 사항과 그 시행에 필요한 사항을규정함을 목적으로 한다. <개정 2012.2.3>
005668,256753,조문,2,"제2조(영업의 세부 종류와 범위) 「화장품법」(이하 ""법""이라 한다) 제2조의2제1항에 따른 화장품 영업의 세부 종류와 그 범위는 다음 각 호와 같다."
005668,256753,항,3,
005668,256753,호,4,1. 화장품제조업: 다음 각 목의 구분에 따른 영업
005668,256753,목,5,가. 화장품을 직접 제조하는 영업
005668,256753,목,6,나. 화장품 제조를 위탁받아 제조하는 영업
005668,256753,목,7,다. 화장품의 포장(1차 포장만 해당한다)을 하는 영업
005668,256753,호,8,2. 화장품책임판매업: 다음 각 목의 구분에 따른 영업
005668,256753,목,9,가. 화장품제조업자(법 제3조제1항에 따라 화장품제조업을 등록한 자를 말한다. 이하 같다)가 화장품을 직접 제조하여 유통ㆍ판매하는 영업
005668,256753,목,10,나. 화장품제조업자에게 위탁하여 제조된 화장품을 유통ㆍ판매하는 영업
005668,256753,목,11,다. 수입된 화장품을 유통ㆍ판매하는 영업
005668,256753,목,12,라. 수입대행형 거래(「전자상거래 등에서의 소비자보호에 관한 법률」 제2조제1호에 따른 전자상거래만 해당한다)를 목적으로 화장품을 알선ㆍ수여(授與)하는 영업
005668,256753,호,13,3. 맞춤형화장품판매업: 다음 각 목의 구분에 따른 영업
005668,256753,목,14,가. 제조 또는 수입된 화장품의 내용물에 다른 화장품의 내용물이나 식품의약품안전처장이 정하여 고시하는 원료를 추가하여 혼합한 화장품을 판매하는 영업
005668,256753,목,15,나. 제조 또는 수입된 화장품의 내용물을 소분(小分)한 화장품을 판매하는 영업
005668,256753,조문,16,제3조 삭제 <2012.2.3>
005668,256753,조문,17,제4조 삭제 <2012.2.3>
005668,256753,조문,18,제5조 삭제 <2012.2.3>
005668,256753,조문,19,제6조 삭제 <2012.2.3>
005668,256753,조문,20,제7조 삭제 <2012.2.3>
005668,256753,조문,21,제8조 삭제 <2012.2.3>
005668,256753,조문,22,제9조 삭제 <2012.2.3>
005668,256753,조문,23,제10조 삭제 <2012.2.3>
005668,256753,조문,24,"제11조(과징금의 산정기준) 법 제28조제1항에 따른 과징금의 금액은 위반행위의 종류ㆍ정도 등을 고려하여 총리령으로 정하는 업무정지처분기준에 따라 별표 1의 기준을 적용하여 산정하되, 과징금의 총액은 10억원을 초과하여서는 아니된다. <개정 2008.2.29, 2010.3.15, 2012.2.3, 2013.3.23, 2019.3.12, 2019.12.10>"
005668,256753,조문,25,제12조(과징금의 부과ㆍ징수절차)
005668,256753,항,26,"① 법 제28조에 따라 식품의약품안전처장이 과징금을 부과하려면 그 위반행위의 종류와 과징금의 금액 등을 적은 서면으로 통지하여야 한다. <개정 2012.2.3, 2013.3.23>"
005668,256753,항,27,"②과징금의 징수절차는 총리령으로 정한다. <개정 2008.2.29, 2010.3.15, 2013.3.23>"
005668,256753,조문,28,제12조의2(과징금의 납부기한 연기 및 분할 납부)
005668,256753,항,29,① 식품의약품안전처장은 법 제28조제1항에 따라 과징금을 부과받은 자가 납부해야 하는 과징금의 금액이 100만원 이상인 경우에는 「행정기본법」 제29조 단서에 따라 과징금의 납부기한을 연기하거나 분할 납부하게 할 수 있다. <개정 2023.12.12>
005668,256753,항,30,② 삭제 <2023.12.12>
005668,256753,항,31,③ 제1항에 따라 과징금의 납부기한을 연기하는 경우 그 기한은 납부기한의 다음 날부터 1년 이내로 한다.
005668,256753,항,32,"④ 제1항에 따라 과징금을 분할납부하게 하는 경우 각 분할된 납부기한 간의 간격은 4개월 이내로 하고, 분할납부의 횟수는 3회 이내로 한다."
005668,256753,항,33,⑤ 삭제 <2023.12.12>
005668,256753,조문,34,제12조의3(과징금 미납자에 대한 처분)
005668,256753,항,35,"①식품의약품안전처장은 과징금납부의무자가 납부기한(제12조의2제5항에 따라 분할납부 결정을 취소한 경우에는 해당 과징금을 한꺼번에 내도록 한 기한을 말한다)까지 과징금을 내지 않으면 납부기한이 지난 후 15일 이내에 독촉장을 발급해야 한다. 이 경우 납부기한은 독촉장을 발급하는 날부터 10일 이내로 해야 한다. <개정 2012.2.3, 2013.3.23, 2019.3.12, 2021.4.27>"
005668,256753,항,36,"② 식품의약품안전처장은 과징금납부의무자가 제1항에 따른 독촉장을 받고도 납부기한까지 과징금을 내지 않으면 과징금부과처분을 취소하고 업무정지처분을 해야 한다. 다만, 법 제28조제4항 단서에 해당하는 경우에는 국세 체납처분의 예에 따라 징수해야 한다. <개정 2014.11.4, 2019.3.12, 2021.4.27>"
005668,256753,항,37,"③제2항 본문에 따라 과징금 부과처분을 취소하고 업무정지처분을 하려면 처분대상자에게 서면으로 그 내용을 통지하되, 서면에는 처분이 변경된 사유와 업무정지처분의 기간 등 업무정지처분에 필요한 사항을 적어야 한다. <개정 2012.2.3, 2014.11.4>"
005668,256753,조문,38,제13조(위반사실의 공표)
005668,256753,항,39,"① 법 제28조의2제1항에서 ""대통령령으로 정하는 사항""이란 다음 각 호의 사항을 말한다."
005668,256753,호,40,1. 처분 사유
005668,256753,호,41,2. 처분 내용
005668,256753,호,42,3. 처분 대상자의 명칭ㆍ주소 및 대표자 성명
005668,256753,호,43,4. 해당 품목의 명칭 및 제조번호
005668,256753,항,44,② 법 제28조의2제1항에 따른 공표는 식품의약품안전처의 인터넷 홈페이지에 게재하는 방법으로 한다.
005668,256753,조문,45,"제14조(권한의 위임) 법 제34조제1항에 따라 식품의약품안전처장은 다음 각 호의 권한을 지방식품의약품안전청장에게 위임한다. <개정 2012.2.3, 2013.3.23, 2014.11.4, 2015.7.24, 2017.1.31, 2019.3.12, 2021.4.27, 2022.2.15>"
005668,256753,항,46,
005668,256753,호,47,1. 법 제3조에 따른 화장품제조업 또는 화장품책임판매업의 등록 및 변경등록
005668,256753,호,48,1의2. 법 제3조의2제1항에 따른 맞춤형화장품판매업의 신고 및 변경신고의 수리
005668,256753,호,49,"1의3. 법 제5조제8항에 따른 화장품제조업자, 화장품책임판매업자 및 맞춤형화장품판매업자(이하 ""영업자""라 한다)에 대한 교육명령"
005668,256753,호,50,1의4. 법 제5조의2제2항에 따른 회수계획 보고의 접수 및 같은 조 제3항에 따른 행정처분의 감경ㆍ면제
005668,256753,호,51,2. 법 제6조에 따른 폐업 등의 신고에 관한 다음 각 목의 권한
005668,256753,목,52,가. 법 제6조제1항 각 호에 따른 신고의 수리
005668,256753,목,53,나. 법 제6조제2항에 따른 등록의 취소
005668,256753,목,54,다. 법 제6조제3항에 따른 정보 제공의 요청
005668,256753,목,55,라. 법 제6조제4항에 따른 통지
005668,256753,호,56,2의2. 법 제14조에 따른 표시ㆍ광고 내용의 실증 등에 관한 다음 각 목의 권한
005668,256753,목,57,가. 법 제14조제2항에 따른 자료의 제출 요청
005668,256753,목,58,나. 법 제14조제3항에 따른 자료의 접수 및 제출기간의 연장
005668,256753,목,59,다. 법 제14조제4항에 따른 중지 명령
005668,256753,목,60,라. 법 제14조제6항에 따른 다른 기관의 자료요청에 대한 회신
005668,256753,호,61,3. 법 제18조에 따른 보고명령ㆍ출입ㆍ검사ㆍ질문 및 수거
005668,256753,호,62,3의2. 법 제18조의2에 따른 소비자화장품안전관리감시원의 위촉ㆍ해촉 및 교육
005668,256753,호,63,3의3. 다음 각 목의 경우에 대한 법 제19조에 따른 시정명령
005668,256753,목,64,가. 법 제3조제1항 후단에 따른 변경등록을 하지 않은 경우
005668,256753,목,65,나. 법 제3조의2제1항 후단에 따른 변경신고를 하지 않은 경우
005668,256753,목,66,다. 법 제5조제8항에 따른 교육명령을 위반한 경우
005668,256753,목,67,라. 법 제6조제1항에 따른 폐업 또는 휴업신고나 휴업 후 재개신고를 하지 않은 경우
005668,256753,호,68,4. 법 제20조에 따른 검사명령
005668,256753,호,69,5. 법 제22조에 따른 개수명령 및 시설의 전부 또는 일부의 사용금지명령
005668,256753,호,70,"6. 법 제23조에 따른 회수ㆍ폐기 등의 명령, 회수계획 보고의 접수와 폐기 또는 그 밖에 필요한 처분"
005668,256753,호,71,6의2. 법 제23조의2에 따른 공표명령
005668,256753,호,72,"7. 법 제24조에 따른 등록의 취소, 영업소의 폐쇄명령, 품목의 제조ㆍ수입 및 판매의 금지명령, 업무의 전부 또는 일부에 대한 정지명령"
005668,256753,호,73,8. 법 제27조에 따른 청문
005668,256753,호,74,9. 법 제28조에 따른 과징금의 부과ㆍ징수
005668,256753,호,75,9의2. 법 제28조의2에 따른 공표
005668,256753,호,76,10. 법 제31조에 따른 등록필증ㆍ신고필증의 재교부
005668,256753,호,77,11. 법 제40조제1항에 따른 과태료의 부과ㆍ징수
005668,256753,조문,78,"제15조(민감정보 및 고유식별정보의 처리) 식품의약품안전처장(제14조에 따라 식품의약품안전처장의 권한을 위임받은 자 또는 법 제3조의4제3항에 따라 자격시험 관리 및 자격증 발급 등에 관한 업무를 위탁받은 자를 포함한다)은 다음 각 호의 사무를 수행하기 위하여 불가피한 경우 「개인정보 보호법」 제23조에 따른 건강에 관한 정보(이하 ""건강정보""라 한다), 같은 법 시행령 제18조제2호에 따른 범죄경력자료에 해당하는 정보(이하 ""범죄경력정보""라 한다), 같은 영 제19조제1호 또는 제4호에 따른 주민등록번호 또는 외국인등록번호가 포함된 자료를 처리할 수 있다. 다만, 제2호, 제5호 및 제6호의 사무의 경우에는 범죄경력정보는 제외하고, 제3호 및 제11호의 사무의 경우에는 건강정보와 범죄경력정보는 제외한다. <개정 2012.2.3, 2013.3.23, 2015.7.24, 2019.3.12, 2019.12.10, 2022.2.15, 2022.12.20>"
005668,256753,항,79,
005668,256753,호,80,1. 법 제3조에 따른 화장품제조업 또는 화장품책임판매업의 등록 및 변경등록에 관한 사무
005668,256753,호,81,1의2. 법 제3조의2제1항에 따른 맞춤형화장품판매업의 신고 및 변경신고에 관한 사무
005668,256753,호,82,1의3. 법 제3조의4제1항 및 제4항에 따른 맞춤형화장품조제관리사 자격시험 관리 및 자격증 발급ㆍ재발급에 관한 사무
005668,256753,호,83,2. 법 제4조에 따른 기능성화장품의 심사 등에 관한 사무
005668,256753,호,84,3. 법 제6조에 따른 폐업 등의 신고에 관한 사무
005668,256753,호,85,4. 법 제18조에 따른 보고와 검사 등에 관한 사무
005668,256753,호,86,4의2. 법 제19조에 따른 시정명령에 관한 사무
005668,256753,호,87,5. 법 제20조에 따른 검사명령에 관한 사무
005668,256753,호,88,6. 법 제22조에 따른 개수명령 및 시설의 전부 또는 일부의 사용금지명령에 관한 사무
005668,256753,호,89,7. 법 제23조에 따른 회수ㆍ폐기 등의 명령과 폐기 또는 그 밖에 필요한 처분에 관한 사무
005668,256753,호,90,"8. 법 제24조에 따른 등록의 취소, 영업소의 폐쇄명령, 품목의 제조ㆍ수입 및 판매의 금지명령, 업무의 전부 또는 일부에 대한 정지명령에 관한 사무"
005668,256753,호,91,9. 법 제27조에 따른 청문에 관한 사무
005668,256753,호,92,10. 법 제28조에 따른 과징금의 부과ㆍ징수에 관한 사무
005668,256753,호,93,11. 법 제31조에 따른 등록필증 등의 재교부에 관한 사무
005668,256753,조문,94,제16조(과태료의 부과기준) 법 제40조제1항에 따른 과태료의 부과기준은 별표 2와 같다. <개정 2019.3.12>
